date,상일동,고덕,명일,굽은다리,길동,강동,둔촌동,올림픽공원,방이,오금,개롱,거여,마천
2019-04-30,29125,24052,20223,23705,18040,45395,20634,10956,18360,9435,17349,18111,12975
2019-05-01,18448,16433,14305,18767,14106,31052,16170,10505,12710,6264,12534,13261,10465
2019-05-02,29327,24947,19852,23233,17972,43703,20382,11258,17427,9203,16721,17912,12423
2019-05-03,29282,25704,20724,24225,18247,43989,21483,11804,17240,8925,17252,18452,13118
2019-05-04,19619,15309,13428,18406,13126,32145,14858,11718,12336,4990,11268,11905,9915
2019-05-05,12298,10448,10862,14345,9882,23278,12659,8964,8910,3841,8057,8833,8064
2019-05-06,15782,11404,10426,14575,10572,24023,11844,6480,8639,3871,8504,9398,8176
2019-05-07,29046,23835,19722,22287,18029,43705,20984,10695,17396,9386,16858,18012,12575
2019-05-08,29722,24300,20073,22680,18271,43913,21216,10887,17752,9099,17584,18360,12862
2019-05-09,29912,23923,20019,22497,18076,44354,20889,11481,17827,9349,18109,18602,12911
2019-05-10,29641,25180,20337,23572,18447,45417,21625,11405,18581,9276,17229,18580,13224
2019-05-11,20826,16616,14942,18369,13448,35428,16280,11158,13332,5507,13142,12351,10667
2019-05-12,12849,10356,11593,13677,9809,23986,13559,9116,10143,3962,8790,9236,9104
2019-05-13,28985,23136,19362,21531,17648,42942,20281,10395,16782,9002,16464,17967,12505
2019-05-14,29149,24312,19860,22481,18290,44804,20771,11025,17566,9387,16659,18206,12839
2019-05-15,31697,25357,21271,22773,18833,44662,21882,15248,18105,9119,17926,19629,13312
2019-05-16,30104,23283,19788,22275,17767,44385,20465,10365,17427,9050,16815,18428,12303
2019-05-17,28966,23592,20035,22797,18360,44577,21089,13589,17730,9015,16714,18447,12868
2019-05-18,20417,16480,13950,18054,13227,34799,15613,11619,13745,5289,12375,12724,10052
2019-05-19,11567,9827,9920,12954,9281,22547,12435,9702,9746,3718,8305,8420,6984
2019-05-20,28342,22987,19364,21623,17676,43208,20173,11436,16921,9086,16669,17837,12523
2019-05-21,29254,23543,19622,22130,18245,44254,20591,10566,18095,9143,16851,18298,12830
2019-05-22,29439,23330,19769,22376,17990,43593,21422,11899,17331,9227,17020,18173,12935
2019-05-23,29165,23838,19352,22097,17586,44199,20823,11030,17357,8982,16797,18129,12560
2019-05-24,29259,23656,20606,22461,18593,45031,21312,11653,17916,9137,17231,18699,12799
2019-05-25,20090,16253,15373,18195,13447,35278,15656,17022,13397,5894,12146,12733,10003
2019-05-26,12617,10872,11924,13065,9842,24256,13470,13304,10553,3862,8805,9410,8213
2019-05-27,26984,22803,18818,20969,17173,42190,20020,9954,16469,8792,15988,17359,11820
2019-05-28,28770,24174,19611,22408,18615,44184,20802,11277,17757,9441,16720,18283,12823
2019-05-29,30052,23909,19594,22266,17936,44012,21070,10957,17592,9007,16855,18173,12693
2019-05-30,29405,23493,19446,22085,17353,43309,20339,10824,17564,9139,16554,18086,12404
2019-05-31,28486,24096,19834,22489,18217,43599,21340,11067,17781,9096,16734,18193,12865
