date,상일동,고덕,명일,굽은다리,길동,강동,둔촌동,올림픽공원,방이,오금,개롱,거여,마천
2019-01-01,8138,6824,6807,9098,6766,15937,7351,3382,5904,2387,5381,6038,5117
2019-01-02,26205,20272,18423,20435,16901,39559,19591,8475,16434,8209,14915,15707,10791
2019-01-03,26888,21108,18322,20819,16897,41473,19504,8938,17039,8443,16251,16337,11218
2019-01-04,26599,21915,18923,21143,17782,41576,20562,9317,17161,8518,15485,17073,11358
2019-01-05,17391,13928,13944,15413,12465,29675,14360,13552,12251,4716,10407,11198,9011
2019-01-06,10628,9197,10725,11722,9034,20678,12200,11143,8801,3317,7668,7916,7560
2019-01-07,26635,21950,18166,20599,17219,40851,19555,8984,16535,8254,15465,15783,11388
2019-01-08,26575,21452,18800,20883,17565,41314,19797,9183,17320,8258,15353,16156,11375
2019-01-09,26585,20913,18689,20593,17033,40425,19977,8812,17028,7996,15465,15838,10968
2019-01-10,26899,21783,19028,21041,17136,41247,19453,9122,17631,8041,15967,16245,11182
2019-01-11,26658,21527,18438,21065,17828,41669,20420,9204,17566,8243,16218,16668,11413
2019-01-12,18040,13779,12674,15798,12658,31362,15099,6456,12227,4808,11412,11626,9307
2019-01-13,11089,9128,9892,11220,8975,21354,12422,7803,9018,3436,7488,8195,6983
2019-01-14,26093,21026,18146,20318,17287,40816,19460,8674,16554,7811,15305,15530,11110
2019-01-15,26284,20908,18301,20969,17207,41039,19649,8630,17115,7940,15479,16082,10973
2019-01-16,26602,21315,18503,21009,17053,40712,20200,8587,17419,8161,15599,15917,11166
2019-01-17,27338,21291,18254,20896,17560,42253,20228,8930,17849,8377,15739,16342,11268
2019-01-18,26907,21886,18470,21164,18105,41980,20406,9271,17691,8240,15796,16709,11634
2019-01-19,17396,13817,12873,15835,12500,30927,14285,9492,12158,4880,10386,11498,9222
2019-01-20,10989,9288,10190,11956,8897,22107,11697,4569,8902,3542,7542,8209,7283
2019-01-21,26208,20784,18216,20391,17068,40897,18886,9877,16585,8033,15255,15776,11168
2019-01-22,26619,20953,18584,20959,17403,41668,19499,8771,17201,8160,15199,16118,11458
2019-01-23,26913,21183,18431,21294,17791,41821,19986,9222,17478,8071,15635,16212,11203
2019-01-24,26644,21311,18372,21076,17222,41571,19366,8951,17347,8056,15869,16269,11611
2019-01-25,26884,21450,18887,22710,17968,42611,20368,9474,17482,8304,15712,16370,11450
2019-01-26,17804,13377,12457,16876,12943,30554,14701,11801,11766,4931,10480,11548,8974
2019-01-27,11518,9178,10014,12289,9471,22082,12279,9901,9232,3636,7814,8369,7378
2019-01-28,26465,20728,18193,21060,17205,41068,19366,8895,16475,8022,15542,15897,11278
2019-01-29,26301,20819,18022,20751,17507,41463,19264,8737,17122,8386,15541,16207,11478
2019-01-30,26713,21247,18469,21509,17310,41659,20188,8883,17458,8568,15616,16529,11758
2019-01-31,26405,21023,18367,20976,17154,41366,19522,9124,17251,8543,15576,16178,11403
2019-02-01,25693,21059,18138,20864,17343,40606,19411,12121,16561,8026,15103,16064,11421
2019-02-02,13226,11569,10506,13704,10943,23408,11946,5671,9854,4039,8850,9421,8281
2019-02-03,8087,7029,7582,9716,7242,15668,9042,3245,6796,2414,5752,6151,5321
2019-02-04,7098,5572,5557,7821,5965,13023,6446,2607,4280,2063,4779,5248,5058
2019-02-05,7198,4700,4998,7209,5329,13898,5372,2143,3696,1910,4396,5482,4932
2019-02-06,9346,7832,6859,9759,6655,17242,8148,3722,5437,2532,5772,6549,5913
2019-02-07,23453,20817,17230,20074,16151,38435,17861,8615,15894,7467,14789,14918,10582
2019-02-08,24830,21150,17948,20535,17294,40567,19004,9050,16445,7802,15187,15783,11160
2019-02-09,16663,13327,12474,15974,12238,28743,13915,6741,11883,4564,10303,10930,9088
2019-02-10,10943,9240,9882,11913,8907,20906,11844,5165,8860,3469,7526,8005,7242
2019-02-11,26523,22252,18594,20565,17543,41605,19417,9295,16949,8200,15955,16274,11525
2019-02-12,26823,22312,18828,21072,17381,42187,19574,9230,17293,8292,15595,16807,11537
2019-02-13,26948,22353,18831,21367,17612,41825,20467,9380,17676,8353,16274,16509,11563
2019-02-14,27127,22681,18559,21284,17788,42200,19772,9148,17736,8252,16402,16430,11557
2019-02-15,27631,22713,19292,21776,18207,43375,20498,9532,18087,8330,16721,16935,11683
2019-02-16,19011,14456,13618,16890,13272,32943,15118,7619,12863,5286,11079,11660,9471
2019-02-17,11586,9628,10663,12621,9543,22460,12646,6002,9509,3545,8256,8525,7648
2019-02-18,26778,21066,18664,20765,17812,41895,19372,9352,17196,8460,15893,16389,11626
2019-02-19,26963,21770,18844,21135,17614,42549,19721,9296,18139,8680,16091,16442,11437
2019-02-20,27741,22036,19556,21628,18017,42730,20570,10114,18179,8376,16452,16546,11526
2019-02-21,27621,22277,18793,21552,17680,43084,20075,9062,17801,8732,16084,16647,11589
2019-02-22,27400,22109,19206,21684,18257,43848,20797,9973,18242,8575,16077,17181,11814
2019-02-23,19426,14913,13551,17527,13232,35099,15516,9779,12079,5138,11362,12112,9833
2019-02-24,12079,9821,10877,12411,9697,24631,12931,5376,9542,3868,8255,9059,8431
2019-02-25,27002,21698,18486,21198,17805,41814,19728,9175,17020,8275,15598,16316,11459
2019-02-26,27257,22204,18644,21046,17545,42768,20369,9495,17945,8459,15569,16846,11735
2019-02-27,28140,22979,19141,21675,17898,42037,20367,9677,17633,8277,16021,16449,11714
2019-02-28,28044,21921,19075,21436,18258,42859,20176,9719,17918,8153,15902,16745,11636
2019-03-01,16950,11832,11829,14647,11038,26611,12924,5767,10106,4062,8933,9927,8362
2019-03-02,16589,13051,12376,15366,11817,28150,13271,10172,11213,4610,10292,10583,8717
2019-03-03,11445,9333,10151,11989,9261,22235,12417,8053,9371,3626,8363,8310,7483
2019-03-04,27492,23205,19242,21262,17762,42504,20106,10308,17232,8918,16545,17720,12317
2019-03-05,27784,23357,19599,21063,17873,43333,20178,10218,17402,9032,16381,17572,12145
2019-03-06,28528,22939,19769,22600,17819,43038,20695,10266,17488,9064,16813,17704,12094
2019-03-07,29190,23725,19861,22498,17824,44117,20617,10543,17741,9164,16948,18032,12485
2019-03-08,28708,24297,20551,22826,18663,44497,21193,12229,18312,9390,17060,18047,12648
2019-03-09,19395,15176,14171,18254,13346,33477,15832,12332,13359,6455,12223,12611,10485
2019-03-10,11561,9793,10556,13061,9728,22696,12886,8576,9437,3622,8118,8686,7584
2019-03-11,28359,23197,19930,21491,17930,43129,20446,10555,17343,9071,16572,17743,12287
2019-03-12,28403,23014,19819,21675,18146,44213,20755,10341,17453,9216,16344,17651,12035
2019-03-13,28948,23686,20227,22359,18063,43839,21260,10560,17662,9149,16936,17974,12354
2019-03-14,29065,23264,19853,21813,17768,43835,20909,10507,17725,9215,16755,18256,12374
2019-03-15,28285,23466,20296,22235,18596,44257,21252,12628,18306,9364,17025,18296,12545
2019-03-16,19551,15173,13786,17187,13352,33959,15166,8616,12929,5132,11615,11930,9822
2019-03-17,12218,10141,10997,13087,9551,23723,13584,9060,10499,3827,8595,9144,8119
2019-03-18,28377,22747,19988,21296,17967,43285,20506,10229,17017,9189,16569,17583,12512
2019-03-19,29014,23697,19881,21359,17926,44114,21001,10208,17999,9475,16794,18303,12782
2019-03-20,28552,22857,20015,22015,18038,43467,21043,9817,17717,9351,16887,18051,12391
2019-03-21,28902,23357,19892,21727,17944,43489,20549,10378,17988,9263,16745,17842,12218
2019-03-22,28620,23662,20385,22517,18612,44278,21778,10601,18490,9168,17202,18225,12752
2019-03-23,18716,15460,13374,16921,13081,32512,15209,7391,12958,5161,10941,12115,9474
2019-03-24,11916,10081,10826,12384,9729,23587,13059,6163,9625,3685,8418,8834,8075
2019-03-25,28363,23053,19909,21629,17720,42928,20561,10308,16762,9141,16557,17651,12432
2019-03-26,28540,23373,19934,21510,18218,43511,20506,10730,17634,9297,16540,18209,12356
2019-03-27,28942,23240,20086,22409,17982,43379,21061,10701,17922,9142,16625,17864,12395
2019-03-28,29345,23408,20213,21920,17855,43545,21226,10690,18100,9118,16699,18230,12414
2019-03-29,28562,24295,20540,22060,18474,44364,21512,10969,18090,8969,17005,18452,12803
2019-03-30,17845,14239,12720,16390,12365,32027,14811,8280,12514,6011,11737,11509,9138
2019-03-31,11427,9726,10434,12682,9200,22350,12524,6209,9260,3504,7940,8160,7312
2019-04-01,27992,22876,19424,21047,17539,42127,20017,10403,17017,9086,16239,17461,12323
2019-04-02,28231,23560,19533,21374,17773,43199,20710,10483,17713,9119,16505,17817,12426
2019-04-03,29101,23219,19943,22790,17754,43403,21002,10716,17553,8990,17102,17921,12442
2019-04-04,29240,23314,19903,21547,17721,43986,20572,10558,17677,9042,17004,17969,12536
2019-04-05,28099,23624,19733,22235,18083,43799,20678,10310,17734,8905,17174,18277,12755
2019-04-06,18637,14834,13614,16313,12936,31692,14878,7114,12660,5927,12116,11721,9239
2019-04-07,12510,10736,11289,13286,10055,24196,13041,6361,10001,3801,8734,8782,8003
2019-04-08,28613,22911,19593,21366,17860,42788,20384,10868,16724,8889,16553,17544,12290
2019-04-09,28429,23684,19921,21752,17743,43868,20524,10657,17836,9228,16597,18046,12648
2019-04-10,28312,22718,19510,21647,17651,42919,20628,10235,17922,8941,16485,17383,12242
2019-04-11,29491,23694,19760,21973,18168,43647,20482,10909,18002,9318,16895,17803,12658
2019-04-12,28561,23516,20161,22954,18394,44334,21357,15853,18542,9116,16972,18023,12619
2019-04-13,20678,15799,14062,18210,13616,34909,15793,15158,13838,5243,12185,12235,10027
2019-04-14,10737,9069,10085,11110,8928,22446,11993,11089,9862,3694,8077,8426,6889
2019-04-15,28140,22601,19437,21034,17468,43017,20502,10662,16675,9039,16485,17509,12641
2019-04-16,28660,23422,19544,21846,17624,43467,20664,11025,17468,9310,16908,18017,12893
2019-04-17,29688,23209,20068,22065,17862,43985,21046,10882,17893,9198,17072,18056,12855
2019-04-18,27393,20723,17587,19302,16742,37979,19156,9523,15842,8348,15445,16520,11544
2019-04-19,27858,23531,20031,21992,18128,43632,21018,10752,17692,8950,17230,18225,12528
2019-04-20,19393,15572,13572,16518,13145,33360,14891,13238,12986,5260,12269,12268,9806
2019-04-21,11644,9638,10481,12181,9329,22988,12472,10552,9998,3782,8408,8930,7827
2019-04-22,28251,22863,18913,21052,17752,42682,20494,10778,16745,8639,16765,17527,12408
2019-04-23,28046,22935,19031,21222,17408,43706,20031,10641,17309,9182,16274,17771,12579
2019-04-24,28772,23170,19421,23863,17737,43441,20646,10557,17419,8966,16795,17848,12581
2019-04-25,28944,22809,19351,24167,17566,43047,20081,10376,17629,9138,16557,17842,12171
2019-04-26,28252,23864,19405,24294,18354,43949,20851,13137,17820,8960,16652,18003,12434
2019-04-27,20476,20371,14587,19039,13635,36653,15973,14880,13244,6051,12671,13246,10183
2019-04-28,12605,9971,10512,13501,9391,24156,12272,5807,9285,3486,8499,8827,7944
2019-04-29,28640,23196,19539,23021,17553,43282,20335,10979,17735,9043,16829,18485,12579
