date,성수,용답,왕십리,신답,용두,신설동
2020-01-01,18722,3191,18016,1315,2286,4149
2020-01-02,72272,5419,34899,3628,5224,7649
2020-01-03,75747,5964,39179,3927,5513,9174
2020-01-04,34954,4359,30831,2438,3983,8790
2020-01-05,23062,3835,21816,1704,2551,7911
2020-01-06,75242,5710,35851,3817,5565,8128
2020-01-07,73980,5535,34868,3774,5109,7885
2020-01-08,77041,5783,37654,3945,5653,8126
2020-01-09,77505,5833,37870,3893,5684,8367
2020-01-10,78805,6139,40556,4146,5879,9458
2020-01-11,40621,4761,32993,2473,4267,9499
2020-01-12,25265,4000,23769,1802,2532,8121
2020-01-13,73791,5620,36153,3821,5711,8441
2020-01-14,77316,5748,36334,3902,5839,7946
2020-01-15,77788,5870,37658,3902,5819,8283
2020-01-16,79112,5824,37221,3715,5994,8475
2020-01-17,79669,6116,40080,3939,6159,9335
2020-01-18,42414,4666,32385,2392,4744,9296
2020-01-19,25656,3673,23008,1756,3114,7302
2020-01-20,77412,5890,36087,3936,6192,8477
2020-01-21,78453,5819,36425,3936,6244,7976
2020-01-22,78134,5833,37296,4065,6411,7987
2020-01-23,70010,5544,34709,3680,5804,7295
2020-01-24,16281,2896,14163,1125,2459,3772
2020-01-25,11155,2529,10973,1071,1604,2704
2020-01-26,17546,3014,16344,1377,1893,4695
2020-01-27,21233,2994,18377,1484,2477,3963
2020-01-28,70464,5095,32352,3654,4853,6674
2020-01-29,75984,5292,34344,3856,5211,7645
2020-01-30,75740,5352,35006,3784,5313,7411
2020-01-31,76723,5486,36834,3791,5329,8394
2020-02-01,33977,3651,26929,2105,3471,7286
2020-02-02,22306,2921,19014,1505,2180,5979
2020-02-03,72340,5167,32241,3764,5085,7498
2020-02-04,73440,5187,32676,3680,4999,7440
2020-02-05,72881,4963,33191,3621,4864,7353
2020-02-06,71903,5048,32674,3526,4625,7176
2020-02-07,73897,5183,34805,3661,4965,8200
2020-02-08,31846,3537,26328,1993,3234,6843
2020-02-09,20778,2803,19099,1366,1866,5793
2020-02-10,71271,5075,32446,3780,4850,7420
2020-02-11,74654,5197,33090,3719,5089,7174
2020-02-12,73932,4939,32959,3688,4765,7216
2020-02-13,74783,5182,34391,3739,5036,7126
2020-02-14,76302,5507,37295,3908,5432,8208
2020-02-15,34747,3923,28749,2058,3735,7374
2020-02-16,21381,2927,20239,1437,2107,5375
2020-02-17,74170,5106,32686,3635,4686,7270
2020-02-18,74611,5035,33715,3589,4873,6959
2020-02-19,74714,5093,32162,3734,4906,6863
2020-02-20,73495,4997,30825,3645,4842,6862
2020-02-21,70867,4908,31899,3646,4695,7502
2020-02-22,27291,3096,22274,1707,2868,5706
2020-02-23,16832,2359,15066,1097,1535,3937
2020-02-24,65012,4415,25967,3252,4315,5988
2020-02-25,63369,4198,24290,3132,4013,5616
2020-02-26,63271,4193,24867,3022,4053,5629
2020-02-27,62039,4148,23972,3044,4071,5541
2020-02-28,59453,3974,24111,2889,3920,5517
2020-02-29,21633,2578,16037,1367,2224,3865
2020-03-01,13092,1793,10494,857,1441,2931
2020-03-02,59002,3867,22667,2934,3811,5177
2020-03-03,60243,3925,22945,2895,3881,5084
2020-03-04,59764,3905,22708,2849,3747,5037
2020-03-05,59970,3882,23650,2847,3771,5038
2020-03-06,60289,4130,24903,2780,4169,5417
2020-03-07,22714,2679,17254,1412,2367,4079
2020-03-08,14983,2017,11537,998,1441,3373
2020-03-09,60437,4140,23637,2980,3936,5431
2020-03-10,61190,3891,23264,2889,3688,5338
2020-03-11,62703,4136,24292,2897,3845,5443
2020-03-12,61729,4120,23448,2883,3738,5204
2020-03-13,61806,4166,25090,2868,3929,5260
2020-03-14,25111,2832,17936,1488,2449,4009
2020-03-15,15590,2149,12202,964,1579,3459
2020-03-16,61132,4185,23617,2999,3801,5442
2020-03-17,61809,4137,23650,2921,3747,5188
2020-03-18,62237,4371,24319,3040,4016,5474
2020-03-19,60340,4001,23923,2841,3653,5360
2020-03-20,63007,4422,26897,2980,4161,5643
2020-03-21,25964,3076,18409,1595,2603,4434
2020-03-22,16443,2376,12482,1079,1515,3662
2020-03-23,59567,4232,23674,2889,4013,5397
2020-03-24,62040,4211,24059,2932,4102,5060
2020-03-25,62168,4254,24928,2940,4175,5447
2020-03-26,61673,4127,24207,2985,3886,5360
2020-03-27,62878,4428,26685,2951,4135,5557
2020-03-28,25495,2992,18640,1521,2611,4472
2020-03-29,15922,2253,13142,1005,1650,3832
2020-03-30,62008,4308,23798,3026,3949,5389
