date,성수,용답,왕십리,신답,용두,신설동
2020-03-31,62711,4218,23728,3035,4021,5289
2020-04-01,63184,4200,25037,2934,4029,5395
2020-04-02,62719,4290,24657,2958,4064,5414
2020-04-03,64016,4429,27354,2970,4166,5556
2020-04-04,26283,2952,18950,1542,2587,4554
2020-04-05,16950,2238,12865,1066,1696,3986
2020-04-06,63055,4226,24088,3116,4104,5441
2020-04-07,63985,4374,25107,3027,4149,5423
2020-04-08,63835,4272,25649,3014,3971,5691
2020-04-09,64498,4330,25254,3074,4116,5768
2020-04-10,65473,4460,27464,3002,4212,5798
2020-04-11,27033,3071,19532,1553,2773,4696
2020-04-12,16934,2368,13234,1090,1632,4122
2020-04-13,62585,4299,24433,3146,4176,5562
2020-04-14,65471,4398,27487,2980,4213,5454
2020-04-15,26883,2854,16452,1520,2539,3693
2020-04-16,64840,4521,26103,3026,4370,5621
2020-04-17,64584,4443,27322,3073,4136,5746
2020-04-18,29190,3299,21364,1668,3032,5419
2020-04-19,17055,2315,13263,1044,1790,4290
2020-04-20,64776,4385,25631,3142,4210,5831
2020-04-21,66341,4404,26405,3133,4138,6010
2020-04-22,65894,4469,26336,3158,4153,6240
2020-04-23,66531,4488,27271,3215,4372,6184
2020-04-24,68676,4764,29734,3084,4414,6188
2020-04-25,30488,3337,21501,1857,2999,5444
2020-04-26,19476,2706,14690,1202,1830,5105
2020-04-27,67481,4626,26926,3233,4362,5992
2020-04-28,67906,4679,27609,3142,4421,5956
2020-04-29,69646,4734,29550,3275,4674,6305
2020-04-30,27325,3284,17774,1562,2749,4424
2020-05-01,28841,3485,20205,1728,2914,4647
2020-05-02,26395,3245,19446,1601,2839,4979
2020-05-03,19646,2865,14549,1291,1972,4972
2020-05-04,52909,4395,26390,2734,3997,5400
2020-05-05,24385,2979,16414,1460,2493,3831
2020-05-06,68241,4832,27703,3326,4534,6446
2020-05-07,69308,4898,28810,3377,4535,6370
2020-05-08,69652,4988,29459,3534,5122,6759
2020-05-09,25796,3133,21187,1628,2589,3938
2020-05-10,19614,2833,15597,1312,1884,4808
2020-05-11,66506,4822,27592,3368,4548,6147
2020-05-12,67842,4818,27768,3325,4539,5954
2020-05-13,68579,4815,28531,3266,4632,6248
2020-05-14,68388,4799,28211,3303,4476,6117
2020-05-15,68073,4700,29233,3262,4478,6505
2020-05-16,31071,3550,23179,1767,3042,5144
2020-05-17,20910,2848,16143,1410,2108,5262
2020-05-18,66804,4696,26510,3349,4550,6559
2020-05-19,68117,4698,27464,3342,4453,6253
2020-05-20,71232,4948,29568,3478,5017,6429
2020-05-21,70211,4963,29716,3419,4699,6430
2020-05-22,70357,5034,31928,3373,4736,6623
2020-05-23,34085,3730,24318,1991,3319,6048
2020-05-24,20538,2787,15338,1292,1718,4800
2020-05-25,67909,4798,28499,3448,4587,6474
2020-05-26,67718,5045,28135,3374,4524,6208
2020-05-27,68628,5017,29267,3447,4636,6688
2020-05-28,66329,4946,28525,3397,4542,6373
2020-05-29,66836,5029,30219,3434,4710,6336
2020-05-30,29074,3480,22565,1795,2976,5635
2020-05-31,18846,2820,15435,1256,1915,5145
