date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2019-01-25,13148,23726,7015,16263,21878,19911,46169,16959,24127,38121,8724,16893,44135,42811,54790,12972,68539,9703,20720,3563,7297,7001,38168,7172,84770,22398,21489,14558,40496,10341,10852,9632,10919,7733,4157,9731,1443,13658
2019-01-26,8016,21438,5194,11686,16120,13437,32141,9976,15774,25438,5029,7486,29680,12044,19520,6357,58314,6888,15425,3013,6617,4762,38329,4625,64596,13402,12256,6778,25478,7061,8414,7177,8404,6380,3473,25786,1169,6688
2019-01-27,5614,18560,4174,8279,10174,10231,26061,5852,10537,18818,3705,5525,20371,12503,12976,4111,41044,5671,10726,2390,3229,3966,30544,3253,36620,7070,7037,4615,18559,6123,6214,5407,6031,4606,2484,23975,1223,5558
2019-01-28,13210,22482,6795,16432,20156,18610,45718,16865,23960,36987,8470,16269,41036,38691,52284,12531,62082,9619,20318,3340,7385,6655,31839,6862,72712,21067,20247,13914,34764,9566,9983,8812,10053,6646,3545,8163,1501,13673
2019-01-29,13124,21538,6734,16469,21113,19247,46677,16905,23990,37478,8555,16293,41700,40525,53117,12341,63335,9676,20605,3346,7219,6860,31651,7150,74245,21636,20586,14228,36753,9445,10265,8955,10330,7030,3690,8867,1555,14346
2019-01-30,13157,22622,6798,16515,21323,19553,46431,17017,24287,37303,8683,16451,41954,40162,53501,12520,63614,9883,19913,3527,7434,6936,32469,7374,74246,21586,20647,14277,36091,9603,10200,9073,10279,7023,3784,9110,1786,14225
2019-01-31,12804,22562,6754,16491,20707,19144,45817,16734,24065,36517,8783,16009,42216,39659,52124,12757,64961,9602,19987,3422,7352,7092,32575,7266,74499,21424,19952,14316,35757,9640,10485,9238,10432,7135,3603,9613,1531,14723
2019-02-01,12642,23823,7002,16342,20122,18707,45427,16660,23783,36432,8263,15634,42061,35923,50760,11397,65736,9551,19793,3343,7225,6498,38687,7635,78026,20484,19771,13423,34461,9690,10371,9154,10411,6987,3654,17424,1449,12953
2019-02-02,6250,19593,4496,9720,10738,10312,26326,8823,13262,20211,3923,5869,21233,6583,12401,4090,48358,5877,11500,2667,4206,3542,33270,3785,45414,8679,7098,4677,17748,5010,6494,5671,6308,5000,2135,9504,870,5555
2019-02-03,4380,16414,3473,7053,7110,6760,20273,6158,8716,13951,2710,4112,14085,8001,8571,2757,32946,4511,7434,1675,2397,3113,25182,2427,26139,4984,4293,2732,13388,3340,4488,4001,4011,3247,1532,4335,976,3607
