date,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란
2019-01-01,15784,18767,8227,7597,22472,8074,4793,6823,8109,21101,7839,5931,11830,9997,5684,5385,4605
2019-01-02,38685,42157,24123,13503,34114,19405,12257,17794,45812,38864,22461,11721,27874,23348,10258,11972,8197
2019-01-03,39634,43056,24457,14086,35361,19414,12708,19730,47059,39417,22938,11768,28739,23164,10463,11370,8669
2019-01-04,40889,46431,25304,14849,38125,20543,13629,20800,47624,41799,23991,12307,29738,24465,11028,12529,12152
2019-01-05,27418,35995,14181,10179,33786,14043,9579,13952,18704,30671,14857,9590,19552,17186,9253,9821,7395
2019-01-06,19996,26206,10809,7585,24615,10397,6970,8633,10725,24746,13029,7465,14462,12519,6941,7890,4940
2019-01-07,39825,42442,25007,14223,34739,19993,12719,19386,48089,39513,22609,11486,28738,23182,10499,11276,8182
2019-01-08,39954,43291,25510,14464,36202,20341,13448,19862,48041,40054,22995,11793,28888,23538,10315,11332,8113
2019-01-09,39944,42262,24925,14015,34443,19846,13018,19111,47726,40432,22697,11889,28866,23430,10634,12151,10863
2019-01-10,40287,43356,25121,14644,36329,20228,13264,20126,48082,40376,23114,11642,28911,23456,10594,11663,8252
2019-01-11,40942,46227,25753,14852,37472,20846,13600,21065,48383,41834,24069,12108,29355,23858,10908,11864,8764
2019-01-12,27608,36264,15029,9930,32322,14403,9862,14429,19568,30578,15905,10078,20218,17514,9174,9640,7529
2019-01-13,19627,26058,11095,7187,24614,10564,6893,8479,11372,24396,13065,7175,15131,13042,6899,8153,5250
2019-01-14,39046,41305,25229,13716,33416,19635,13107,19088,47977,38984,22139,11748,28603,23381,10404,11622,11065
2019-01-15,39869,41999,25223,14036,35015,19744,13377,20009,47762,39219,22783,11472,28647,23510,10126,11053,8022
2019-01-16,40080,42635,25564,14238,35006,19764,13272,19900,47855,39843,22719,11608,28899,23555,10305,11989,7906
2019-01-17,40575,43508,25571,14646,35736,19908,13935,20459,48304,40598,22711,11918,29074,23527,10587,11048,8172
2019-01-18,41358,45472,25929,14457,37593,20531,13738,21251,48176,41380,23775,12250,29346,24214,10960,11686,8605
2019-01-19,27770,35952,14852,10172,32990,14716,10290,14667,20523,31191,15804,10040,20342,17990,9508,9897,11955
2019-01-20,20483,26570,10962,7939,25587,10789,7411,9015,10953,25159,13085,7390,14562,12761,7172,7983,5302
2019-01-21,39434,41936,25218,13872,33750,19508,13411,19537,47494,39020,21700,11443,28198,23024,10226,10964,8023
2019-01-22,40432,42577,25046,14452,34412,19968,13885,20511,48167,39577,22287,12227,28697,23637,10203,10984,7996
2019-01-23,40626,43182,25552,14514,35690,19789,13969,20341,48124,40967,22721,11741,28510,23747,10349,11832,7934
2019-01-24,40594,43883,25610,14972,36208,20089,14283,20783,48478,40978,22983,11863,29328,24087,10762,11358,12430
2019-01-25,41573,46080,25751,14860,37637,20962,14710,21828,48294,42830,23871,11880,29268,24756,11134,11935,8702
2019-01-26,27831,36909,14680,10699,33919,14630,10444,14941,20245,32878,16322,9813,19867,17336,9389,9669,7471
2019-01-27,20173,26594,11198,7478,24991,10656,7402,9294,12215,26323,12845,7487,14823,12916,7173,7669,5407
2019-01-28,39812,42594,25069,14131,35166,19726,14162,20541,47848,40371,21870,11418,28337,23071,10390,11251,7985
2019-01-29,40607,43578,25377,14493,35619,19982,14715,21155,48338,40882,22406,11844,29109,24380,10603,11381,12326
2019-01-30,40127,43246,25516,14048,35969,19853,14860,21189,47822,42050,22361,11894,28662,23563,10651,11918,8105
2019-01-31,40129,43137,24931,14101,36205,19849,15035,21380,47985,40690,21911,11488,28123,23368,10536,11052,8131
2019-02-01,40049,45578,24899,13958,36768,19950,14566,21196,44642,41016,21873,11655,27627,23399,10829,11376,8261
2019-02-02,24463,30460,12432,7649,27747,12198,9002,13750,13147,25676,11580,8524,16947,14988,8390,8277,6313
2019-02-03,15799,21031,8294,4837,20974,7685,5492,8563,7632,19699,9097,5460,11218,10350,5818,6593,3974
2019-02-04,14480,17101,6775,4226,17652,6191,4438,7392,6044,14664,6299,4961,10521,9544,4992,4850,5955
2019-02-05,13244,13702,6093,3676,15460,5581,3968,4089,5326,10185,5784,4851,9905,8769,4493,4193,3412
2019-02-06,16904,20534,8750,5728,25135,8367,5805,6238,8560,19853,7886,6131,12570,11089,6504,6808,4488
2019-02-07,37776,41139,23220,13019,35494,18433,14157,16715,42624,37547,19782,10789,26731,22062,10281,10974,7831
2019-02-08,39626,44368,24493,13552,37851,20021,15344,19099,44959,40324,22134,11303,28435,24335,10681,11396,8224
2019-02-09,27037,34709,14322,9592,33773,14212,10968,13198,16649,30319,14587,9553,20105,17422,9711,9656,10478
2019-02-10,19791,25469,10628,6782,24898,10480,7747,8123,10690,25071,12295,7451,14211,12566,7452,8000,5112
2019-02-11,40634,42933,25459,14008,35682,19730,15798,19192,48931,40458,22117,11568,28642,23165,10577,11461,7837
2019-02-12,40869,43825,25928,14459,36397,20229,16412,19690,48619,41369,23053,11889,29081,23668,10333,11095,8035
2019-02-13,40723,43862,25731,14112,36917,20359,17044,19809,48697,42035,23127,12309,29007,24032,10624,12383,7919
2019-02-14,41063,45467,25981,14629,38490,20644,16683,19997,48854,42025,23115,12228,30137,24527,11003,11716,11936
2019-02-15,42017,47166,26350,14866,39953,21437,17320,21045,49856,44095,25054,12304,30942,24282,11077,11880,8419
2019-02-16,29153,38466,15606,10301,35755,15276,12141,14630,22323,33212,16815,10484,20689,18021,9531,9956,7535
2019-02-17,21274,28164,11390,7950,27885,11056,8812,9003,13207,26957,13232,7600,15467,13005,7306,8243,5377
