date,인천,동인천,도원,제물포,도화,주안,간석,동암,백운,부평,부개,송내,중동,부천,소사,역곡,온수,오류동,개봉,구일,구로,영등포,신길,대방,노량진,용산,남영,서울역,종각,종로3가,종로5가,동대문,동묘앞,제기동,청량리,회기,외대앞,신이문,석계,광운대,월계,녹천,방학,도봉,도봉산,망월사,회룡,의정부,가능,녹양,양주,덕계,덕정,지행,동두천중앙,보산,동두천,소요산
2019-01-01,7228,18921,3237,10038,4183,24346,6292,19915,8205,53048,8990,27331,8886,48490,11616,27702,6868,13729,23151,5373,19813,68659,8478,12369,14748,65390,8282,70541,37602,33560,26860,19794,16549,20365,30404,26611,10064,8759,10431,8151,5332,4389,9780,5785,10208,7740,11759,26846,7105,5045,8961,1865,6653,8087,4595,2591,2771,6384
2019-01-02,6065,34616,6732,21870,8442,44369,13381,36600,17926,78936,19682,67330,20565,78912,21203,61751,14007,24992,50173,13364,43510,96053,18753,31307,22937,79136,23180,111100,97554,69206,56450,27550,17726,40768,52009,53833,20333,18427,20638,17490,11313,9422,20582,12844,12273,16313,25695,41693,13819,9663,16683,3654,12324,13844,7449,3201,4738,5809
2019-01-03,6376,35523,6448,22574,8394,45230,13672,37569,17854,80642,19619,69513,20744,80532,21777,63447,14419,25592,50531,13823,44531,98004,19397,32369,24285,78596,24202,110839,99526,74180,60728,30572,18685,44468,54804,55710,21041,18873,21269,17935,11618,9684,20968,12910,13161,16164,26498,42075,14268,9820,17040,3725,12233,14162,7629,3176,4764,5821
2019-01-04,6457,35974,6845,22944,8880,47855,14141,38854,18201,86854,20623,71815,21274,86294,21859,66247,14204,26239,52195,14366,45330,110259,19592,33506,26049,90602,24640,127542,106600,78883,64115,32020,18974,45284,57779,58849,21878,19333,22456,18821,11814,9783,21885,13492,13096,16781,27739,46065,14415,10293,17870,3892,12907,15842,7774,3671,5336,6704
2019-01-05,7243,30160,5471,16306,6604,39001,10033,32258,14147,82338,14933,49045,15659,77235,18717,49321,10964,20419,41824,30715,35693,113333,13519,21536,24952,85250,14360,99914,65002,67995,57365,32018,27256,40345,52164,51582,17319,14543,18469,14051,8939,7075,16485,9859,14378,12618,21895,45747,11540,8396,14744,3069,10618,13094,6919,3415,4096,7967
2019-01-06,6453,24059,4386,12477,5032,31125,7632,24416,10950,60503,11841,35216,11432,59628,14142,37429,9056,16461,30830,28752,25758,88670,10780,17407,18338,68947,11782,71163,39897,40390,27789,27117,28169,28105,38736,35266,12423,11011,13484,10264,7253,5562,13839,7836,14494,10470,16423,35217,9003,6088,11640,2368,8369,10167,5290,3089,3529,8139
2019-01-07,6348,34259,6755,21982,8723,46001,13936,37417,18295,80031,20175,69950,20807,81229,22230,64061,14232,25837,51924,14288,45024,94377,19847,33216,26709,76699,24067,111363,99517,74850,58726,29896,18460,46255,54860,55490,21087,19045,21961,18160,11018,10013,21485,13378,12696,16873,27342,41968,14555,10152,17375,3621,12559,14555,7732,3281,5042,5998
2019-01-08,6296,33633,6571,22037,8875,45328,13854,37696,17910,78629,20131,71141,20879,80329,22261,63556,14445,25681,51860,13924,44645,96378,19787,32990,25687,77607,24355,112747,102398,75027,61923,30010,17843,45600,55517,55640,21234,18928,21960,18419,11271,9911,20988,13546,13134,17014,27564,41899,14384,9821,17589,3671,12340,14696,7516,3045,4974,5887
2019-01-09,6049,34789,6653,21302,8403,45198,13690,37136,17957,79173,19784,69232,20582,81137,21463,63027,13996,25692,50721,13850,44591,96826,19427,32058,25497,76654,23972,109229,100405,72117,57075,29251,16977,40533,51558,54820,20883,18867,21102,17765,10712,9772,20936,13048,11853,16760,26843,41147,14132,9826,16890,3602,11974,13986,7104,3026,4513,4853
2019-01-10,6416,34634,7049,22243,8397,45927,13915,37824,18024,81835,19876,70466,21181,82755,22036,63839,14627,26325,52578,14091,45233,98485,20198,33346,26590,81496,25165,113291,102566,76180,61122,30028,18722,45146,55967,56558,21387,19228,21922,17798,11371,9949,21275,13409,13425,17249,27672,43549,14439,10075,17673,3891,13252,14015,7905,3229,4608,6009
2019-01-11,7353,36837,6998,22488,8973,48604,14143,39766,18419,89471,20401,72556,21497,88021,22526,66671,15024,26323,52331,14219,47285,113256,20559,33906,28292,93429,25086,130376,108219,79548,64631,31816,20381,47382,58538,57847,22572,19719,23027,18535,11750,9973,22218,13735,13877,17116,28225,46685,14844,10210,18432,3927,13386,15247,7998,3661,5016,7183
2019-01-12,8263,32162,5558,17439,6767,41656,10721,33682,14780,85685,15893,51731,16395,80324,21043,51097,11261,20975,43539,10022,37251,119637,14270,21995,28525,94064,15799,105923,69612,75151,57509,33077,28675,43406,55064,46651,22301,14888,18993,13490,9280,7524,17189,10410,14902,13551,22520,47603,11964,8231,15446,3172,11356,13815,6916,3710,4266,8532
2019-01-13,7196,25153,4502,12646,5055,30011,7929,25266,10958,64161,11496,35976,11503,57782,15027,35686,9245,16602,31275,6863,27336,90635,10963,16288,18887,73296,12403,73703,39023,42669,27007,28000,27997,28930,39739,36047,13330,11029,13539,10226,6989,5555,13020,7772,13818,11913,16756,38120,9200,6830,12001,2392,8844,10794,5518,3225,3570,8179
2019-01-14,5907,32718,6386,20822,8222,44691,13440,37185,17872,78156,19568,69179,20569,80026,21948,62416,13724,24915,50192,14217,44457,93528,19558,31696,25009,77518,23762,112615,97729,70347,57247,28773,17550,43193,52469,54199,20666,18742,21075,17598,10806,9761,20820,12829,11807,16546,26574,41850,14311,9920,17444,3666,12765,14025,7418,3112,4694,5452
2019-01-15,5818,32628,6444,20989,8538,44671,13550,37627,17829,78291,19585,69584,20713,80253,21769,62955,14215,25120,51721,36321,45409,96852,19831,32263,25369,76335,23901,112548,100915,72358,58973,29622,17466,43994,54854,55319,20243,18844,21608,17732,11132,9945,20878,13791,12244,16433,27367,41770,14006,9899,17609,3666,12312,13686,7664,3011,4681,5407
2019-01-16,6223,34239,6911,21028,8205,45083,13667,37285,17749,80662,19741,70099,20939,80853,21080,62856,14128,25512,50891,13849,44119,96798,19731,33222,25554,77258,23526,112503,103714,72935,59589,29255,17619,43999,53890,57898,20828,18901,20996,21079,10997,9981,21067,13571,12485,17367,27262,41718,14158,9791,17205,3681,12230,13838,7245,2996,4404,5094
2019-01-17,6713,34972,6526,21584,8360,45660,14017,38261,18009,80521,20056,71178,21157,83100,22254,64161,14428,25943,51567,14209,45631,99666,20090,33217,26772,81956,24306,115761,104660,76832,60775,30424,19608,48556,57664,56516,20111,18972,22233,17890,11595,10028,21413,14189,13819,16861,27778,43213,14426,10269,17709,3867,12607,14294,7460,3551,4780,6424
2019-01-18,7304,36572,6871,22240,8591,47550,14210,39590,18500,88817,20333,73476,21842,88234,22266,65982,14484,25634,53004,14237,46771,112073,20375,33896,28480,93504,24538,132018,110440,80635,62118,31969,20544,48577,59523,58170,21775,19415,22916,18446,11915,10038,22018,13913,13789,16996,28225,46958,14672,10332,18310,3843,13161,15207,8005,4207,5060,6728
