date,부평구청,굴포천,삼산체육관,상동,부천시청,신중동,춘의,부천종합운동장,까치울,온수,천왕,광명사거리,철산,가산디지털단지,남구로,대림,신풍,보라매,신대방삼거리,장승배기,상도,숭실대입구,남성,내방,고속터미널,반포,논현,학동,강남구청,청담,뚝섬유원지,건대입구,어린이대공원,군자,중곡,용마산,사가정,면목,상봉,중화,먹골,태릉입구,공릉,하계,중계,노원,마들,수락산,도봉산,장암
2020-01-01,8630,9144,4137,13976,11587,11189,6679,4101,6576,7736,7957,26203,20592,21721,15695,17566,10846,7368,14115,9257,9716,10684,10258,8354,20715,5425,10890,9395,7351,12020,8070,17844,11164,12668,8781,6095,16100,14430,16543,10363,9560,7877,11469,16912,12571,19331,11013,13012,9839,1443
2020-01-02,23739,20665,10811,30774,27364,32201,20739,9265,15395,22076,20931,52938,51014,98227,37473,19244,23741,20623,35667,22488,23503,27721,24581,31773,38396,13295,47139,53609,37113,48069,15496,32204,25485,28411,20723,12537,33768,32594,36017,24030,22016,17077,25578,39012,31175,48588,25844,27307,20553,3417
2020-01-03,24492,21327,10915,33258,28966,34404,21262,9601,15828,22373,21816,55987,54341,100136,38288,20360,24982,21542,37121,23887,24561,29582,25109,33329,41844,14117,49804,56197,38026,49988,15493,34797,28213,29647,21723,13160,35366,34245,38241,25297,23232,17891,28373,40658,32507,51896,26649,28310,21257,3551
2020-01-04,15865,14892,8106,25881,21568,23624,11129,6641,11369,12832,13774,43160,38633,32827,21184,19756,18079,13499,24578,16383,16594,19041,17420,17693,36902,10351,28074,26162,22411,27150,12533,30825,32073,21538,14868,9545,27049,24656,29552,17645,17920,14001,19970,29898,22484,38448,18406,22145,16770,2685
2020-01-05,11245,11058,5384,17270,14929,15829,7865,4877,8550,9930,10354,31882,26558,24476,17872,21048,14054,9372,18212,12224,12681,14259,12820,11422,28594,7261,14799,17374,12507,15819,10673,21389,17895,16060,11540,7519,19970,18577,21869,13745,12370,10229,14835,22370,17663,27063,12066,18210,13793,2155
2020-01-06,24520,20898,10615,31158,27624,32854,20897,9407,15491,22513,21425,54250,51399,103092,39227,20380,25137,21824,37386,23717,24516,32146,25048,33002,38368,14052,48580,56420,37046,49502,14357,33343,26682,28988,21339,13156,34540,33448,36445,25082,23004,17597,27404,40214,32564,48252,26020,27814,20543,3518
2020-01-07,23938,20453,10824,30854,27034,32563,20570,9041,15058,21836,20580,51936,50905,102302,38022,19693,24085,21267,36509,23363,24132,31975,24710,32889,37218,13734,47832,55466,38049,49035,13957,33072,27259,28779,21419,12987,33881,32806,35216,24792,22884,17768,26538,40696,32877,46417,25469,26950,19857,3395
2020-01-08,24591,21092,11450,32719,28620,33808,21176,9491,16069,22791,21743,55476,53360,102066,38017,20241,25309,22417,37633,23526,25426,30949,25396,33389,37626,14897,49046,56547,39033,50248,14981,33847,27703,29808,22059,13139,34396,33869,37332,25068,22986,18149,27267,41720,34320,48345,26491,27959,20831,3470
2020-01-09,24749,21541,11016,32578,28548,33779,21256,9692,15870,22559,21843,55163,53282,102232,38345,19589,25194,22539,37693,24478,24999,29651,25748,33878,38075,14287,49797,56822,39131,50861,15835,35270,28406,29843,21869,13296,35144,34152,37817,25320,23729,18344,27519,40873,33606,49469,26868,28773,21345,3633
2020-01-10,25670,22072,12006,34294,29978,35496,21535,10013,16142,22839,22260,57056,55886,102914,38526,20130,25404,22646,38480,24679,25423,35810,25698,34249,44010,15055,52102,57203,39891,50567,16103,36100,28654,31291,22385,13277,36431,34827,39881,26292,24206,18740,28639,41808,33513,52122,27560,29226,21583,3743
2020-01-11,16774,16181,8345,28874,23405,24831,11734,7039,11838,13602,14332,45091,42377,34967,21738,20252,19586,15546,25977,17501,18021,21286,18052,18724,39670,11013,29920,29127,25202,28820,13819,32162,22239,22099,15431,9909,27736,25777,31870,18657,19004,14141,20758,30085,22291,39895,19263,23392,16980,2596
2020-01-12,11777,11246,5667,17575,15268,16754,8350,4790,8775,10018,10333,33613,27945,26029,18928,22272,15869,9689,18905,12647,17815,15468,13000,11718,29389,7064,16346,14820,13744,16866,10987,22447,16822,16906,11824,7554,20469,19268,22254,13995,13107,11109,15652,23359,18102,27698,12563,18716,14114,2115
2020-01-13,24837,21146,10824,31792,28266,33375,21145,9464,15669,22474,21479,54703,52053,102731,38833,20141,25032,22401,37274,24070,24753,29297,25454,33443,38268,14019,49550,55418,37519,49886,15344,32914,26662,29378,21559,13229,35056,33716,37526,25233,23351,17869,27241,39786,33354,48665,26232,28298,20925,3646
2020-01-14,25093,21268,11646,32299,28455,33949,21441,9628,15820,22569,21667,54893,53534,103447,38145,20184,25068,22162,37722,24509,25152,29925,25471,34067,39408,14118,50075,57202,38440,50666,15811,34043,27563,29892,21753,13244,34940,33659,37795,25266,23111,18353,27326,42122,33422,49226,26290,28597,21347,3653
2020-01-15,25086,21332,11101,32836,28700,34156,21639,9512,15903,22948,22156,55832,53516,103325,38643,20046,25258,22333,37522,24254,25505,29497,25428,34054,39402,14716,50346,57155,39024,50697,15973,34732,27972,30240,22371,13437,35390,34373,38142,25353,23220,17935,27550,42074,34813,49189,26701,28841,20997,3626
2020-01-16,24950,21490,10935,32784,28941,33985,21587,9558,15983,22611,21868,55423,53238,103331,37924,20061,24908,22251,37992,24330,24825,29281,25579,34174,39072,14296,49776,57838,39555,50512,16334,33981,27408,30015,21868,13287,35415,34298,38194,25172,23881,18390,27531,41476,33321,48533,27096,28616,21468,3642
2020-01-17,25438,21671,11113,34375,29866,35459,21686,9727,16307,22944,22570,56845,55712,102964,38062,20458,25318,22232,38703,24573,25928,30393,25579,34370,45107,14859,52740,57599,39827,52052,16072,36249,28138,31008,22291,13555,36030,34828,39765,25828,23598,18585,28597,41476,33668,52393,27169,29072,21407,3817
2020-01-18,16345,16423,8057,26351,22207,24577,11832,6694,11921,13874,14639,44924,40715,35813,21801,20405,18933,14298,25761,17226,18069,20363,17445,19116,38790,11027,30381,26352,25354,28275,14265,31156,23090,21796,15428,10016,27757,25837,30987,18514,17711,14900,21204,30262,22038,39099,19303,23158,16718,2801
2020-01-19,11235,11932,9364,17655,15644,16323,8142,4810,8532,10009,10368,32811,27278,25646,17719,21529,14968,9715,18594,12545,12709,14269,12953,12125,27870,7484,15682,14943,13259,16724,10055,22018,16558,16919,11817,7161,20140,18884,22134,14219,12600,10720,15266,22657,18075,27308,12620,18122,13162,2058
2020-01-20,24883,21127,10710,31999,27995,33470,21390,9409,15586,22763,22370,55779,53102,103952,38762,20527,25085,22398,37888,24579,24385,29106,25549,33837,39475,14383,50224,55948,37959,49877,15880,33174,25613,29896,21695,13375,35592,34489,37551,25071,23650,17763,27494,40456,33361,50222,26627,28514,21233,3679
2020-01-21,24647,21281,11071,32422,28613,33693,21505,9676,15602,22808,22181,56148,53425,103405,38471,21016,24964,22990,38143,24120,24856,29503,25533,34452,40041,14726,50575,58372,39152,50860,15844,33215,27124,29820,21979,13151,35454,34526,38566,25404,23474,18105,27529,41945,32934,49373,26524,28336,21216,3581
2020-01-22,24453,20093,10201,30083,27296,32155,20457,9341,15100,22127,21789,54824,51225,103003,37521,21634,24896,23236,37004,23258,23633,28373,25001,33588,39351,14342,49834,56588,39438,49628,16203,33481,26639,30613,22087,13876,35292,34637,38820,25223,22963,17911,27310,41256,34543,48524,27073,28287,21267,3516
