date,오이도,정왕,신길온천,안산,초지,고잔,중앙,한대앞,상록수,반월,대야미,수리산,산본,금정,범계,평촌,인덕원,정부과천청사,과천,대공원,경마공원,선바위,남태령,사당,총신대입구,동작,이촌,신용산,삼각지,숙대입구,서울역,회현,명동,충무로,동대문역사문화공원,동대문,혜화,한성대입구,성신여대입구,길음,미아사거리,미아,수유,쌍문,창동,노원,상계,당고개
2020-01-01,12245,9726,1721,20033,3575,7126,20003,7742,20470,4868,4756,3494,18243,25321,24989,11606,20525,10485,4282,3566,1707,5637,959,25204,18984,2944,6132,14332,4028,12007,20376,20523,69444,23407,27254,17619,48074,13756,23887,19403,29624,14666,38559,28143,27749,24530,18032,13752
2020-01-02,19437,15386,3189,25955,8251,17484,35534,17013,39224,9626,9983,8227,39982,57199,60556,39827,54726,24129,10719,6072,4579,17887,3058,53067,47086,5225,18812,37655,11186,31607,39182,65406,79829,68220,45371,45576,80806,29272,46676,46165,63540,33092,77906,64994,61463,48721,41178,26233
2020-01-03,21118,17036,3353,27136,8873,18372,39514,18117,41760,10308,10531,8663,43426,60769,66154,41637,58089,24871,11248,5322,16462,19177,2925,59612,51072,5322,20913,40386,11978,33155,42922,68920,80111,71403,48542,50483,87595,31258,49343,48093,66607,34842,84014,68160,66367,53496,43896,27312
2020-01-04,17668,13290,2745,24126,6592,14071,34468,13919,32588,7957,7726,6007,32543,43484,51227,23376,38260,13083,8603,9155,27555,11504,2083,49125,37843,4166,18624,23172,7563,22176,29461,57306,73766,39736,34653,40100,83876,24181,39439,34435,52486,25418,62280,49019,49001,42817,31000,21726
2020-01-05,13405,11151,2171,23417,6133,10227,25248,9961,25240,6264,6291,4599,23749,33033,36109,15231,28877,18621,6231,7932,35149,9000,1619,35464,26770,3001,15577,16861,5763,19154,22282,28097,59583,23984,27879,21317,63889,18148,29437,25013,38547,19118,46407,37475,38121,32085,23173,17018
2020-01-06,19824,15868,3099,26048,8710,18022,35640,17578,39994,9792,10155,8573,39880,58456,60654,41960,56391,26338,10532,3028,1875,18593,2740,54905,48767,4793,18830,38499,11473,32209,38680,66690,70178,68674,41297,51623,74890,30317,48135,47476,63764,34770,79873,67097,62250,49000,42684,26249
2020-01-07,18638,14534,3040,24848,8537,17117,34324,16912,38343,9171,9646,8325,38573,56691,59706,40764,55536,24301,10520,3337,2012,18225,2713,54899,46362,4331,19789,38216,11888,31820,38892,62685,65098,68677,40486,48776,79351,30245,46693,46820,62038,33364,76668,65585,61006,47320,41539,25311
2020-01-08,19849,15454,3233,26162,9053,18765,37188,17934,40596,9930,10117,8611,41465,59576,63661,41822,57712,31951,11036,4670,5007,18937,2950,57715,49593,5015,20228,40722,11970,32244,39440,66497,71428,69178,43916,52855,86500,31285,48579,48249,65786,35546,80850,67900,64951,51182,43313,26961
2020-01-09,20430,15853,3350,26278,8882,18302,38264,17892,42031,10260,10316,8663,41706,60164,62152,43186,59340,25547,11252,5812,5107,19331,2736,58796,50284,5154,20180,40464,12579,33321,40532,68539,71983,72232,44267,53498,85016,31776,49337,48698,66163,35396,82236,68535,65076,51128,43434,27382
2020-01-10,21355,17582,3472,27255,10104,19007,41039,18975,42880,10070,10806,8846,44025,63381,68245,41571,61263,25660,11537,5496,16091,20233,2986,64812,53153,5183,21786,42452,12760,34583,44222,68065,73477,73170,45879,54011,91277,32399,51482,48991,68126,35921,85268,70135,68521,54037,43981,27952
