date,대화,주엽,정발산,마두,백석,대곡,화정,원당,원흥,삼송,지축,구파발,연신내,불광,녹번,홍제,무악재,독립문,경복궁,안국,종로3가,을지로3가,동대입구,약수,금호,옥수,압구정,신사,잠원,고속터미널,교대,남부터미널,양재,매봉,도곡,대치,학여울,대청,일원,수서,가락시장,경찰병원,오금
2019-03-28,30585,23458,17576,21030,25881,3693,44836,27323,19837,37167,2954,46515,93428,46152,31620,45992,9884,18549,59735,58870,28689,27176,30497,33294,19384,23367,80494,76532,15403,110231,32206,81746,106208,27938,14386,28165,4789,24708,24668,41552,23712,18698,15463
2019-03-29,36110,24497,20788,20696,27501,3768,46604,27780,20020,38735,3018,48484,96838,47519,32082,45581,9860,20133,61500,62856,30412,27851,28283,34762,20184,24575,85452,83302,15178,139493,31719,89958,109318,27678,14546,29808,10715,24457,24335,45522,24871,18792,15560
2019-03-30,30749,16621,17292,13669,20662,2537,33935,19560,12876,28521,2056,35836,72156,35052,21515,32850,6710,16262,39215,42737,22009,14580,23123,22916,13753,16813,64069,66534,9636,154527,14598,67322,62042,14304,8938,23754,10463,14137,12192,31836,15750,10061,9719
2019-03-31,24463,11628,14363,9571,15893,2095,27953,15240,9872,21537,1434,27571,54185,27469,15042,23537,4874,12516,31366,30444,12959,8630,16338,17298,10365,12657,35630,37811,6592,121119,9254,49097,40587,9055,5436,15694,8310,10137,9602,24393,10137,7236,7096
2019-04-01,34438,23359,17204,19363,25181,3603,44370,26539,19154,35355,2873,45639,90438,44142,30981,44866,9506,18100,54670,55388,27233,26114,29773,32570,18941,22614,75567,70556,14640,104046,29934,75582,97070,26815,13750,27767,4437,23310,23916,39675,22666,18476,14928
2019-04-02,34662,23508,17391,19521,25485,3741,45103,26937,19687,34500,2983,46917,92062,44671,31836,45190,9678,21032,53597,57779,28538,25987,30175,33159,19295,23132,78238,72315,14747,100118,30524,74801,101178,27865,13719,28301,4626,23858,24448,40310,23048,18253,15093
2019-04-03,34051,23356,17842,20769,25479,3620,46374,26873,19717,37675,2846,47222,92158,45991,31548,45164,9887,20230,61292,59938,28683,27159,30406,33060,19414,23249,77435,72796,14624,102248,30943,76817,100796,28117,13746,27367,4661,23574,24277,40422,22898,18537,15087
2019-04-04,36033,23503,18235,20690,25774,3690,45141,27227,19759,37900,3025,47132,92883,46282,31710,44991,9665,19491,60926,61373,28751,26884,32152,32968,19347,23126,78472,74926,15110,107995,31239,77132,105276,28247,13990,27913,11026,23734,24942,41396,23296,18645,15383
2019-04-05,35989,24341,21427,20790,27403,3762,46174,27744,19758,38434,3131,48679,95041,45492,31651,45414,9786,20328,63328,65537,29825,27656,30372,34008,19646,23782,84528,82604,15386,139772,31748,86100,107750,28639,14776,28685,10430,24159,24225,45298,24195,18424,15390
2019-04-06,30537,16939,19224,14262,21687,2776,34556,20298,13265,29158,2267,37526,74566,35558,21409,33367,6889,19569,45132,49299,21235,14183,22809,22632,13852,17114,65172,66019,10801,153414,15588,64296,61068,16194,10671,22430,10268,14857,13831,32752,15319,10464,10498
2019-04-07,23432,12306,16924,10282,16744,2381,29315,16595,10875,22922,1782,29364,57984,28655,15461,25524,5287,14551,37027,39147,13431,8913,23728,18605,11192,13722,39144,39101,7468,126482,9826,46198,44128,11921,7166,15198,8089,10828,10287,25718,11172,7657,7804
2019-04-08,30999,23398,17979,19988,25732,3583,45523,27103,19433,37329,2965,46942,91306,43211,30715,45540,9640,18721,56550,56264,27169,26155,30912,32300,19383,22956,76811,70058,14945,104449,30495,75647,100239,28853,14952,27866,4663,24478,24632,40719,23252,18538,15106
2019-04-09,30402,23269,17052,19463,25326,3534,43961,26686,19512,37199,3069,46503,89886,44074,31363,46045,9878,19227,54122,57252,27785,26981,32232,32890,19117,23022,79445,71078,15255,101573,31188,76172,103451,28612,14531,28352,4775,24329,24825,41183,22946,18558,15497
2019-04-10,30560,23020,18091,19626,24893,3658,44775,26342,19340,36805,2761,46996,90822,44220,30850,44389,9603,19143,56585,56959,27792,26848,31097,32325,19076,22794,78576,71631,15058,100850,31196,74342,101821,27777,14098,27708,4918,23433,24414,40508,22479,18928,15213
2019-04-11,31491,23819,19080,20485,26382,3920,45485,27638,20083,38351,3146,48035,93586,45302,31683,46363,9958,20905,60013,63167,28649,26876,34220,33118,19706,23759,78512,75264,15647,107800,31828,77516,104452,28535,14518,28063,9221,24054,24500,41995,23533,18365,15949
2019-04-12,31869,24525,21808,21232,27635,3720,46888,28062,19929,38511,3147,49281,96703,46174,31738,45987,9825,20815,62605,63941,30561,27692,30059,33965,19846,24418,82784,82271,15395,140218,31442,86731,106266,28904,14695,29223,9346,23697,24629,45168,24607,18512,15758
2019-04-13,23895,18280,22746,14986,22139,3174,37194,21903,14441,29784,2725,38371,77626,38189,22844,36678,7735,22440,58959,60329,23483,15619,34158,24359,15090,18858,64731,65876,11652,158540,16107,65424,66392,15720,10847,22751,6673,15050,13624,34379,16497,10026,10134
2019-04-14,15533,10519,13553,9212,14643,1880,25982,14108,9446,19001,1385,24320,51068,24395,14086,22762,4565,11809,26018,26746,11607,8137,16178,16000,10033,11924,34214,34661,6186,117448,9017,43874,38814,9211,5525,13389,4290,10264,10156,23881,9477,6800,7308
2019-04-15,31608,23879,17164,19709,25665,3792,44582,27398,20081,37870,3027,47490,91219,44191,31145,45228,9732,19035,58792,57741,26830,26728,38144,32723,19290,22944,76714,72475,15181,95208,30909,74769,99845,27705,14279,27428,4398,23407,24960,41004,23433,18621,15228
2019-04-16,32509,23999,19356,19862,26077,3792,45535,27620,20223,38382,3077,47740,91521,45736,31870,45505,9919,20127,55950,59001,28354,26436,32430,33533,19610,23308,80392,72937,15214,103007,31415,75471,102288,28417,13997,27676,4656,24032,25264,40863,23656,18631,15502
2019-04-17,33455,23722,19834,20476,25592,3922,46410,27803,19998,36950,3112,48147,91901,45833,31825,45422,10072,20622,62845,60922,28676,27408,31729,32908,19710,23361,78808,73025,15255,104588,31735,75449,102643,28142,13765,27899,11185,23757,26070,41520,23803,18661,15579
2019-04-18,32874,23089,18298,20123,25522,3690,43959,26833,19562,37755,3039,47075,90779,44542,31205,44343,9854,18931,59394,59044,28779,26633,31256,32655,19287,22969,77487,73364,15142,104432,31590,75989,103318,27895,13846,27178,4593,23814,24290,41194,23101,18151,16011
2019-04-19,32219,24055,20352,20823,26893,3786,43799,27382,19769,38329,3193,48040,94814,45875,31593,44915,9934,21440,64058,62481,30031,28098,34301,34576,19683,23878,82729,81499,15305,132108,31549,84968,108044,27242,14117,28773,5958,23911,23690,44912,24497,19086,15451
2019-04-20,23495,18430,19210,15092,22081,3331,34395,21345,13835,28776,2666,38150,74615,37397,22419,34759,7216,20767,58739,53277,22824,15484,33483,23518,14556,17954,63043,68954,10420,152399,15922,63386,66054,14438,10427,20624,12511,14287,12695,33065,16927,10573,9909
2019-04-21,15842,11394,14519,9941,15498,2225,27635,15932,9859,21765,1719,27559,54452,27367,15023,23930,5003,13518,32080,31892,12960,9385,23852,17540,10926,12971,38221,37302,6729,114100,9368,42002,41513,9241,5872,12879,8810,10040,9505,24673,10166,7182,7496
2019-04-22,30885,23611,18036,19358,25575,3776,43791,26936,19473,37652,3073,48191,90867,43865,31013,43889,9766,18401,56485,57460,28004,26162,29387,32246,19264,22650,70800,70451,15130,102699,30271,75459,99158,27476,14188,26300,4271,24517,24627,40883,23504,18751,15004
2019-04-23,30325,23577,17819,19228,25897,3572,43344,27130,19885,38081,3110,48640,91148,43664,31426,44550,9661,18875,54087,58022,28132,26220,29353,32774,19267,22852,77799,72216,14953,99217,31060,74453,100973,27598,14037,26611,4462,24488,24637,40841,23583,18698,15166
2019-04-24,32333,23510,19275,19840,25984,3688,46372,26994,19825,38270,2937,49970,92432,45905,30918,44620,9818,19437,59717,58245,29473,27520,30143,32777,19610,23194,77266,72615,14509,101161,31258,76462,100782,27584,13713,26743,4734,23547,24554,40656,23407,18926,15280
2019-04-25,32743,24239,18398,20088,26211,3499,44436,26451,19491,38539,3267,47538,91321,45047,31139,44327,9860,18604,58013,56037,29439,27369,29699,33632,19505,22902,76760,75065,15413,109441,30803,78969,104397,27835,13911,27097,9231,23645,24100,41606,23254,18348,15255
2019-04-26,33164,24063,23788,20946,27554,3457,44809,27010,19781,38007,3139,49357,95133,46701,31439,45209,9704,18960,62079,58600,31097,28051,27888,34266,20020,23964,83770,82127,15342,142723,31776,88470,107741,27695,14267,28601,10105,23612,24668,45330,23989,18725,15148
2019-04-27,26041,20039,35024,16754,23830,3341,38485,23001,15151,31931,2835,41497,79207,40242,23125,37097,7506,20280,68318,54308,24410,16315,30847,24714,15341,19616,67567,73491,11261,163245,16556,70020,66702,14625,10582,20244,9241,14818,13429,34841,17020,10788,10396
2019-04-28,18121,12493,29033,11147,17294,2445,29906,16926,10694,22945,1908,29895,57361,28733,15699,25278,5167,13844,40957,33756,14522,9542,20885,18069,11184,13482,37348,42088,6881,128583,10301,49292,43263,9454,5665,12809,7067,10135,9312,25086,10312,7141,7203
2019-04-29,31247,23447,23142,20143,25917,3749,44656,27198,19622,37793,2959,48412,91704,44398,31456,45033,9661,18636,62368,57851,28492,27135,30059,32794,19078,22848,78367,74981,15261,108204,30458,76127,99801,27528,14347,27141,4439,23269,24679,40684,23008,18731,14822
2019-04-30,32707,24519,28188,20977,27390,3961,47328,27879,20290,39968,3262,50332,96152,47422,32151,46205,9797,20803,62166,62576,31060,28797,32889,33775,19721,24096,82046,81796,15908,114060,31740,78767,104090,28319,14747,28490,4415,23959,25483,41800,24352,18680,15364
2019-05-01,23617,19318,35710,17324,20517,3061,41053,22483,14788,32013,2240,38859,77434,38506,23086,38407,7299,20254,64720,51815,27390,17469,27242,24659,14717,18873,57625,60693,10823,113745,19823,49327,56058,15113,9145,21233,3161,16825,14011,29155,16238,11776,9877
2019-05-02,35896,24371,27929,21515,27529,3875,47479,27897,20351,40533,3126,48355,93480,45279,31892,45307,9763,20456,69538,64335,30374,27549,31815,33971,19226,23551,79859,82167,15242,115006,30848,78428,101334,27879,13411,27176,4458,23319,24460,41516,23336,18594,15092
2019-05-03,37567,26139,29966,21636,28924,3898,48862,28852,20180,40774,3189,50424,98636,46733,32163,46216,9967,20959,73036,68029,32246,29520,29705,34321,20127,24391,84717,89119,15609,164783,31191,94207,103579,27962,13938,28612,4421,23662,24426,45515,23748,18442,15334
2019-05-04,29150,18216,35380,15769,22810,3186,37659,21807,13429,31367,2578,39494,76278,37816,23146,35479,7379,20533,67696,61514,24866,16139,30207,23415,14239,18220,60961,71275,10481,176368,14385,71281,55161,13399,9293,22231,8170,14164,11996,31953,15841,9793,9819
2019-05-05,22910,12860,33264,11602,17557,2559,31366,17155,10767,25615,1878,32347,59241,29839,16014,25320,5271,15665,47091,45039,16601,10705,15724,18158,10920,13512,37785,43178,7057,127646,8842,42804,36659,8730,5066,14340,5946,9980,8693,24401,10404,7117,7396
2019-05-06,19206,14263,30261,11909,18208,2635,30155,17863,11466,27213,2334,31255,62690,30345,17612,26972,5461,15290,35267,34709,14846,10304,16532,18368,11690,14388,39149,46116,8307,153429,10862,52751,38675,10788,6223,15742,2112,11080,8866,25107,12088,7849,7205
2019-05-07,32222,24710,24712,20471,27017,3926,47512,28210,20163,38806,3045,48583,93986,45677,32104,46277,9888,18949,53777,56140,27818,26127,29153,32928,19888,23098,77539,72636,15265,112193,30108,78686,100332,27484,14208,27481,4790,22473,24648,41716,23032,18951,15177
2019-05-08,31806,23753,23959,20717,25532,3816,47052,27791,20045,39078,2986,49529,94860,45494,32228,46693,9882,20200,56908,57270,26791,26545,28510,33066,19946,23744,76421,72372,15700,105341,30480,75317,101686,27933,14021,28086,5995,24246,25105,41016,22797,19037,15309
2019-05-09,35359,24172,24684,21213,26945,3954,46306,28951,20351,39050,3191,49538,94701,46028,32716,46507,9946,20462,60528,59537,27966,27069,30659,33646,19781,23765,79833,76554,15922,108871,32189,77518,104172,28157,14887,28408,6325,24369,25191,41505,23760,18807,15683
2019-05-10,39171,26325,28011,22433,27978,4252,51759,29827,20291,40933,3385,51215,99133,47626,32371,47010,10123,21828,67343,64702,30375,29951,29230,34402,20337,25005,84201,84022,15924,141080,32332,86946,109101,28539,14741,30036,4812,24051,25356,45432,24811,18963,15462
2019-05-11,37505,19215,31849,15930,23594,3267,39037,22742,14629,32229,2822,42648,79177,39215,23421,36729,7580,20587,56391,51682,22327,17234,32590,24191,15081,18937,65176,72825,12211,167275,16688,70073,67368,15551,10397,25513,21912,15512,13112,34287,16955,11063,10558
2019-05-12,27241,13275,25893,11225,16989,2587,31983,18129,11187,25170,2086,37991,61228,31283,16704,26902,5972,15692,36809,42030,13246,9929,16687,18744,11924,15276,36265,39920,7600,130658,9854,52259,46062,9731,6100,16658,20281,10777,10287,25449,10190,7532,7755
2019-05-13,31082,23363,18134,19943,25514,3816,44747,26810,19694,37467,3086,47268,90842,43499,31450,44610,9506,18634,54287,53122,27456,26390,29100,32348,19110,22683,76704,72371,14918,105994,30826,75555,99709,28106,14019,27553,4191,23466,25023,40582,22720,18840,14853
2019-05-14,32326,23974,19200,20210,26120,3898,46229,27965,20427,38789,3043,49617,92933,45475,32331,45653,9813,20247,55819,57544,27956,26640,31850,33731,19475,23473,80648,75566,15183,106551,32010,75809,103178,28247,14281,28301,4527,23759,25113,41191,23489,18593,15430
2019-05-15,32321,24240,20291,20901,26356,3991,47073,28211,20156,38976,3025,51064,95680,46895,32853,47496,10134,21616,67330,60010,28896,27887,33790,33561,19906,23579,78320,75847,16340,108835,31742,75592,102937,28461,14796,30522,4695,24480,26446,42032,24165,18815,15528
2019-05-16,32348,23747,18727,20618,26390,3961,45586,27676,19946,38184,3088,49508,93108,44944,32121,45384,9806,20567,61042,56594,28755,27453,33921,32984,19349,23492,78740,76530,15603,109166,31588,76236,104043,27849,13929,27637,5870,23887,25588,41940,23168,18809,15420
2019-05-17,35026,25643,23673,21972,27624,3984,48770,28577,20389,39957,3317,50023,96587,46197,32140,44920,9926,22839,63060,62196,30364,28813,31459,34498,19852,24312,83072,83982,16391,141643,31764,86736,107476,27838,14439,29283,5707,23158,24966,46155,24433,18769,15652
2019-05-18,24012,18840,20224,15061,22561,3331,38177,21975,14212,31418,2742,41500,78030,42491,22504,35123,7484,20244,55751,51343,23184,16635,24781,24955,14699,19219,63540,71672,11410,161150,16450,66256,66137,14458,10174,24421,4359,15527,13631,34068,15956,10731,10131
2019-05-19,16708,11244,13653,9487,14971,2074,26047,14335,9282,21807,1740,27479,52211,25082,14868,22818,4632,12177,30359,26752,11851,8979,17547,16866,10168,12188,33872,36315,6604,124061,8986,45791,39091,8861,5655,15023,2664,10129,9035,24171,9729,7055,7551
2019-05-20,31874,23475,17710,19999,25995,3828,44713,27171,19789,38209,3113,48606,91678,43980,31449,44726,9699,18654,58790,56732,28268,26489,29483,32011,19114,22589,76837,72826,15137,96323,30767,74928,98756,27405,14096,28111,4276,23546,24935,41171,23046,18478,14853
2019-05-21,34553,24210,18649,20094,26263,3972,46573,27732,20326,38691,3133,49232,92965,45328,32255,45404,10038,20184,56941,57996,28333,27096,31295,33528,19664,23433,79677,75340,15797,105466,31091,75347,102811,28199,14226,28125,4627,24249,26026,41615,23748,18552,15160
2019-05-22,34989,23514,19465,20409,25919,3962,46672,27922,20052,38930,3070,49532,93564,45714,31967,45382,9937,20761,62766,59793,28966,28058,41305,33761,19860,23428,76613,74106,15378,104605,30669,74549,101972,27733,14277,27676,4693,24030,24813,40821,23310,18951,15119
2019-05-23,34593,23838,19317,20671,26696,3971,45753,27860,20127,38693,3069,49334,92993,44763,32182,45392,9666,19647,62834,57006,29051,28074,38017,33294,19694,23510,77786,75492,15751,108629,31257,75735,103585,27910,13936,28065,7380,23596,25680,41893,23230,18262,14976
2019-05-24,35166,25319,22069,21789,27509,4003,48111,28255,20189,39422,3120,50972,96886,45551,32287,45354,10070,20695,65933,60600,31238,29419,30591,34155,19998,24301,83433,82668,15571,141859,31635,86467,106784,27935,14392,29212,8141,24206,24990,45577,24185,19006,15239
2019-05-25,24194,18829,21872,15053,22361,3248,37476,22177,14657,30497,2889,40929,76759,38011,22802,35582,7161,21121,61889,50510,23202,17223,25898,24495,14633,19039,66421,71427,11419,162130,16240,66908,65414,14893,9889,24245,6312,15037,14073,33817,16211,9988,10284
2019-05-26,19232,12686,16795,10212,16291,2380,29035,16211,10442,23190,2003,31375,57365,28894,15879,25426,4902,14460,38507,32132,13423,9963,15740,17826,10897,13549,37413,42522,7236,129135,9673,48898,41981,9391,5592,16436,2888,10481,9691,25474,10121,7506,7622
2019-05-27,31327,21959,15103,18714,24358,3319,41888,25376,18683,35486,2802,46202,86118,41422,30240,42314,9171,17372,50062,49721,26854,25733,28738,31483,18398,21710,68487,69425,14475,101318,29493,72469,95893,26589,13522,27416,4155,23004,24341,39660,21451,18743,14535
2019-05-28,32795,24098,19267,19783,26154,3896,46549,27584,19872,38511,3227,49237,93317,44981,32276,44903,9686,20364,55731,57688,28394,27185,31343,33648,19392,23472,80173,74506,15000,103219,31485,75142,101329,28035,14060,28330,4419,23797,25364,41308,23306,19096,15040
2019-05-29,32889,23639,20278,20303,25783,3714,47152,27294,20098,38429,3083,50682,92750,45208,31804,44720,9802,20689,61803,59460,28752,28042,32177,32501,19472,23361,78137,74517,15256,102232,30828,74042,101011,27408,13588,27792,4937,23593,24795,40808,22793,18701,14804
2019-05-30,31998,23621,18664,20257,26147,3906,45430,27392,19918,38804,3152,50430,93018,44948,32290,44945,9740,19704,60022,56571,28732,27358,31710,32713,19413,23289,78729,75791,15353,107470,30942,73926,103604,27472,13698,27522,5024,23339,25158,41209,22714,18895,15164
2019-05-31,32056,23698,21080,20798,27101,3889,46685,27455,19870,38829,3037,50758,96173,46130,32187,45230,9790,20707,61808,58831,30441,29359,29854,34212,20063,24669,85174,82243,15539,135274,30999,83700,105004,27419,14028,28597,4964,24172,25423,44836,23671,18283,15324
