date,대화,주엽,정발산,마두,백석,대곡,화정,원당,원흥,삼송,지축,구파발,연신내,불광,녹번,홍제,무악재,독립문,경복궁,안국,종로3가,을지로3가,동대입구,약수,금호,옥수,압구정,신사,잠원,고속터미널,교대,남부터미널,양재,매봉,도곡,대치,학여울,대청,일원,수서,가락시장,경찰병원,오금
2019-01-23,28279,22317,19391,19690,24635,3138,44152,25240,18932,34209,2618,42777,88637,42705,28280,40714,9007,17129,53955,52799,29513,26871,20656,31651,18787,22326,79710,77435,14104,110428,29314,77934,99724,27354,12834,27601,4228,21895,23287,39553,23017,18661,14615
2019-01-24,28338,22273,17906,19637,25843,3094,42807,25146,18832,33976,2613,42289,88368,42660,28765,40227,8808,16769,54020,52900,29905,27369,26822,31687,18558,22456,79836,79497,14191,113871,29935,80593,100493,27417,13199,27913,5522,21408,23442,40280,23100,18583,14735
2019-01-25,29995,22904,19896,20084,26752,3113,43699,25952,18928,35157,2635,43870,92490,43648,29207,42417,8756,17376,54775,54254,32004,28845,22033,33027,19195,23252,85223,85059,14357,135384,31350,88137,106332,27604,13806,29712,4977,22434,22624,44163,24662,18785,15447
2019-01-26,27425,16661,18297,13866,21342,2461,34395,20163,13530,28034,1956,34378,72556,35437,20332,32318,6296,15077,47020,40902,25680,14538,23935,22661,13753,15862,64856,67854,9398,148960,14786,67880,61452,13356,9729,22115,3986,13181,11992,31370,16646,10015,9330
2019-01-27,19793,10832,14262,9117,15689,1859,26746,14967,9535,21585,1391,25521,53886,27471,13989,23145,4551,11632,36284,27483,15179,8596,14003,16837,10090,11530,34760,38300,6291,112795,8473,47127,37643,9152,4659,14395,2949,9474,9169,23894,10362,6976,7279
2019-01-28,28313,22238,17652,19305,25085,3015,42637,24879,18362,34622,2440,41548,87770,41554,27969,40000,8624,16309,48727,49662,29217,26233,19646,31265,18325,21917,80664,77962,14356,110728,28701,75879,97109,26939,13454,27871,4013,21854,23669,39249,23065,18556,14474
2019-01-29,27681,21982,17951,18550,25273,3087,42938,25129,18823,34546,2508,42535,88499,43000,28367,40526,8767,17494,48355,50818,29522,26024,19905,31555,18667,22336,80933,78120,14264,110419,29386,79744,99288,27254,12829,27826,4088,22138,23265,39975,23481,18953,14772
2019-01-30,29039,22379,20179,18898,25994,3126,44728,25306,18750,34596,2590,42968,90267,43051,28656,40889,8720,17602,52431,52506,30276,26725,19897,31685,18893,22450,81885,77755,14324,111712,30004,80748,99791,27325,13283,27905,4236,22150,23573,39930,23589,18716,14629
2019-01-31,27705,22151,17556,18604,25142,2972,42316,24734,18325,34151,2545,42353,89163,42397,28211,40527,8944,16897,49458,48505,28995,26123,19669,31342,18882,22133,79548,78631,14363,114560,29096,79686,99478,27167,13104,27662,3977,22223,23120,39921,23236,18514,14454
2019-02-01,28042,21721,19154,19250,25544,2947,43070,24926,17776,34798,2363,42507,91833,42616,27899,40026,8700,16638,47983,47605,29822,25328,18459,30603,18611,21628,80432,79161,13926,139193,27553,85408,95269,25401,12577,28527,3969,20993,21476,40347,23457,17224,14157
2019-02-02,17282,13886,15734,11648,18306,2064,28762,16766,10637,24947,1540,28779,64607,31865,16368,27198,5525,12092,29721,27972,18010,10060,15269,18373,11892,13660,49885,48709,7953,126231,10710,52203,36421,10475,5926,18846,1973,11183,9121,23998,14053,7873,7538
2019-02-03,11968,8462,11439,7096,12381,1317,21148,11349,7221,18003,995,19540,43065,19336,10705,17923,3529,7617,16901,15120,9392,6100,9277,12194,7848,8852,28294,25812,4853,97570,5241,33768,23739,6082,3490,11584,1188,7232,6315,17394,8987,4959,5623
2019-02-04,10643,7625,8008,6466,11045,1268,16363,10732,6065,17276,891,18036,37408,17184,9339,15590,3202,6767,26633,21146,9611,4567,8474,9822,6891,7588,19316,19602,4147,70301,3879,29024,15324,4730,3100,8116,1058,6144,5054,16375,7762,4374,4011
2019-02-05,10232,6765,7533,4974,9429,1267,14748,11160,5650,17522,925,18900,38224,16660,10591,16487,3284,6385,29807,21763,7820,3761,8521,10142,7497,7609,9351,12388,3517,70573,2676,29908,13811,3843,2197,5495,945,5656,4868,17435,5253,4350,3741
2019-02-06,13123,9150,11885,7087,13714,1522,22904,12573,7562,20746,1039,22571,46672,22229,11375,18580,3694,8772,32120,26017,12495,6205,14793,12554,8711,10043,18316,28108,5071,116214,5653,41466,22630,6662,3880,8954,1340,7787,6774,20388,7858,5640,5252
2019-02-07,27431,21299,17590,18243,24159,2810,41025,23655,17207,33576,2262,40424,85569,40199,26385,38270,8375,16132,46820,46181,28397,24630,17308,28949,17709,20605,74188,73601,12863,116611,25246,75468,84250,24059,11640,24969,3763,20193,21208,35284,19217,16936,13037
2019-02-08,27713,21811,18885,19310,25062,2930,42444,24531,17597,34372,2388,42054,89401,41294,27322,39216,8489,16747,50023,50536,29985,26236,18898,31366,18228,20918,81454,82350,13360,127807,27893,80339,94093,25786,12562,27833,5271,20979,21726,40142,21624,18022,13944
2019-02-09,21084,16030,17195,13875,19496,2239,33151,18691,12202,27936,1897,33143,70527,34572,19091,31478,6140,14381,41503,38351,23816,13802,21400,21830,12975,15623,61336,65719,9265,143667,13826,61722,51138,12318,7369,21138,6303,12698,11535,28541,14746,9505,9028
2019-02-10,14968,10847,13097,9163,14752,1712,26711,14215,9192,21093,1330,25282,51653,26221,13316,21968,4289,11297,29889,26153,13736,8239,14200,16093,9773,11229,34120,37786,6131,110664,8267,44046,35655,8608,4472,13982,4153,9411,8524,21013,9189,6583,6957
2019-02-11,28996,22646,18144,19420,25285,3105,43595,25568,18457,34689,2587,43167,89196,42433,28384,40754,8864,16598,51758,51440,29165,26790,21363,31976,18496,22096,80485,77854,14077,114322,29432,77694,97973,26668,13273,27832,4092,21380,23051,39044,22498,19041,14427
2019-02-12,28959,22601,18692,19341,25400,3225,44503,26140,18903,35135,2655,43568,90246,43375,28652,40992,8876,17604,48734,53706,29642,26596,19898,32684,18925,22109,82448,79234,14485,116444,30106,80336,100378,26916,13500,28076,4169,22423,23317,40068,22923,19001,14674
2019-02-13,29103,22711,19257,19792,25454,3152,44757,24908,18874,35391,2626,44245,90857,43615,29111,41407,8971,18243,53205,56591,29414,27514,24567,32796,19048,22985,81895,79596,14382,121241,29647,78497,100634,27496,13329,28406,4621,22246,23976,40389,22650,18854,14601
2019-02-14,29802,22971,18838,20162,26082,3126,44092,25883,18940,35221,2611,44061,91470,43687,29038,41359,8856,17603,52498,54241,30015,26743,20581,33572,19342,23303,83190,81314,14160,125415,29682,83072,101832,27596,14253,28418,5843,22243,23730,40880,22913,19272,14828
2019-02-15,31480,23484,21052,21256,27791,3524,47103,26757,19972,37361,2622,45529,94792,44495,30804,42497,9157,17685,54306,54806,31687,28192,25666,33631,19359,23607,86997,85247,15324,141705,31026,89890,108864,27982,13828,30751,6202,22927,23842,45163,24135,19520,15370
2019-02-16,22478,17277,19274,14172,21909,2559,36133,20809,13570,29220,2074,35039,75613,37603,20964,33747,6499,16323,42600,42158,25998,14893,20220,22974,14380,17690,66599,70989,9859,160011,15068,71247,64552,13789,9088,22897,8490,14426,12558,32676,16554,10290,10019
2019-02-17,16976,11570,14586,9522,15840,1912,28231,15241,9472,21945,1385,26401,55100,28169,14270,23837,4713,11726,28200,26680,14820,8541,14924,17574,10587,12279,35830,40197,6591,120547,8692,46521,40425,8916,5634,14687,5144,10426,9313,24153,10657,7391,7417
2019-02-18,29370,22826,17792,19412,25643,3377,43594,25978,18872,34943,2716,42548,88787,42710,28679,40442,8806,16376,48602,50847,29514,26595,25391,31474,18661,22274,79711,77606,14465,116436,29797,78275,98191,27518,13251,28899,4205,22151,23043,40137,22563,19329,14829
2019-02-19,29609,22264,18218,19178,25683,3143,43703,25736,18973,35224,2605,43373,87308,41900,28974,39951,9046,16982,47415,52417,28753,26417,20766,31820,18646,22419,80052,77770,14673,111994,30499,81290,103079,27984,13626,29610,4248,22940,25068,40719,22201,19253,15253
2019-02-20,32898,23104,19496,19959,26107,3411,45773,26038,18851,35310,2744,44088,90414,44222,29161,41392,9204,17894,53549,52833,30372,27611,23749,31558,19123,22930,81170,78300,14321,119053,30008,83535,101260,28080,13106,29190,4689,22221,23547,40390,22934,18925,15257
2019-02-21,33649,23607,19017,20373,26551,3342,43577,26541,19106,36059,2665,43616,89839,43979,29379,41658,9039,17609,53033,52751,30458,27367,25897,32573,19077,23070,80812,79522,14624,123331,30861,83531,102782,27662,13195,28539,4514,22570,23451,41093,23038,18894,14967
