date,봉화산,화랑대,태릉입구,석계,돌곶이,상월곡,월곡,고려대,안암,보문,창신,동묘앞,신당,약수,버티고개,한강진,이태원,녹사평,삼각지,효창공원앞,대흥,광흥창,상수,합정,망원,마포구청,월드컵경기장,디지털미디어시티,증산,새절,응암,역촌,불광,독바위,구산,응암
2019-04-28,11122,13389,8293,17011,10591,7714,14219,12023,16090,10215,3931,17229,11025,4377,3075,15639,35348,10767,8322,8857,10146,10643,17174,23309,22110,18992,16386,15662,14071,17059,23949,5718,8941,4337,8646,23949
2019-04-29,23044,28637,14844,31610,19772,15834,31229,25305,36729,16739,8747,20693,21003,9080,5839,16699,29128,11959,13149,17530,22961,22563,23738,30622,31851,32027,12228,33707,24135,32695,42145,9813,11315,6588,16373,42145
2019-04-30,23705,30545,15556,32999,20129,15897,32405,25135,38520,17365,8734,21797,22091,9584,5793,21165,35416,13380,15644,18252,24102,22378,27120,33687,34270,32797,14345,34118,25176,34260,43015,10090,12125,6902,16441,43015
2019-05-01,15903,20916,11605,25150,15392,12556,24659,20090,30697,12855,6440,21467,18411,6533,3991,18570,35532,13622,13146,13583,16595,14128,22713,27250,28707,22791,18440,19429,19864,26251,32605,7477,10905,5598,12987,32605
2019-05-02,23303,29538,15372,32716,20303,17413,31727,25439,38582,17193,8669,21895,21847,9572,5817,20213,33460,13443,14599,17855,23763,23212,26613,32221,33606,32899,14102,33868,24362,33308,42144,10155,11633,6772,16582,42144
2019-05-03,23591,29694,15031,32447,20245,15396,30515,24207,35728,17088,8431,23396,21782,10172,5696,23234,45886,14704,15434,18065,23690,23089,29016,34708,35802,33960,16803,33911,24411,33471,43031,10343,12426,6882,17044,43031
2019-05-04,14596,17564,10484,22663,14253,9495,19300,15531,21090,13095,5253,26246,15639,5975,4029,22828,50541,15532,12320,10924,14379,12595,23164,28022,28687,22245,21690,17689,18001,22354,30867,7146,10443,5300,11640,30867
2019-05-05,11558,12828,7781,16844,10947,7735,14246,12459,16220,10330,4062,20248,11978,4397,2999,18922,44790,13160,10464,8139,9652,10348,19164,22950,22627,16016,15721,13649,13989,17292,24332,5813,9065,4317,8939,24332
2019-05-06,12225,14503,8715,19262,11828,7981,16176,12136,17548,10289,4252,18345,13499,4973,3158,18310,31393,10197,7664,8911,10709,9713,18052,22332,23035,17494,19365,14695,15128,18683,25940,5937,8673,4426,9461,25940
2019-05-07,23408,27751,14485,32484,19885,15686,31657,24070,37890,17203,8626,20648,20392,9190,5837,18793,27942,11792,13508,18091,23809,22480,23815,31491,32232,33404,12388,33947,24620,33230,42262,10044,11568,6770,15883,42262
2019-05-08,23150,29613,15618,32855,20443,16071,32398,25135,37309,17559,8777,21357,21278,9145,5592,17599,28051,11879,14314,17920,24149,23506,23819,31386,33119,34209,12270,33977,25010,33891,42645,10264,11672,6852,16972,42645
2019-05-09,23416,29904,15571,32694,20228,17846,31654,24838,37949,17682,8975,20771,21854,9183,5791,17903,30805,12692,14679,17621,24451,23071,25224,32777,33665,33402,12666,33980,24715,33559,42079,10310,11458,6885,16412,42079
2019-05-10,23391,29516,15676,32874,20286,15641,31176,24537,34980,17405,8428,22223,21808,9481,5858,20230,42405,14216,15602,17936,24051,23304,28675,35554,35640,34674,15214,34290,24792,34570,43432,10218,12460,7150,17387,43432
2019-05-11,15750,20341,11515,23750,14327,9811,21302,18013,25172,13706,5442,22403,15366,6678,4127,19723,48884,15589,13486,12229,15869,13664,25679,32360,31064,24814,34001,20849,19169,23513,32879,7556,11095,5649,12555,32879
2019-05-12,11320,14497,8691,17738,11039,8055,14666,11763,17278,13711,4361,17745,11095,4537,3013,13616,32686,11073,8520,8365,10385,10801,16833,23324,22460,17368,10960,14187,14356,17795,24100,6006,8990,4643,9377,24100
2019-05-13,22880,29044,15159,31696,19872,15621,30942,24138,35656,16798,8715,20026,20569,8974,5603,16370,26984,11384,12972,17418,24024,22490,23135,29671,31378,32031,11232,33377,24234,32590,41379,10076,11068,6628,16201,41379
2019-05-14,23496,29873,15675,33048,20230,15910,32019,24887,37070,17561,8624,20640,21660,9373,5736,21944,29110,12404,14731,17783,24600,22757,24874,31808,32990,33473,14403,34286,24688,33525,42150,10171,11505,6795,16812,42150
2019-05-15,23638,30082,15549,32818,20466,16329,31924,25846,37681,17359,8813,20979,21797,9107,5693,19977,29095,12823,15078,18100,24845,23842,32833,32223,33423,34270,17962,34837,25758,34450,43001,10294,12467,7363,17816,43001
2019-05-16,23454,29921,15607,32519,20533,17186,31531,25938,38448,17623,8663,21461,21418,9144,5758,20172,31824,13038,15339,18168,24343,22782,30204,32209,32946,33266,12552,34422,24324,33531,41877,10222,11745,6826,16597,41877
2019-05-17,23560,29385,15709,32775,20314,15577,30282,23600,36131,17808,8409,21236,21495,9539,5804,22576,43834,15016,15828,17313,24191,23318,30429,34946,34415,33722,15102,33900,24301,33647,42688,10085,12076,6980,16849,42688
2019-05-18,15463,19417,12936,23215,14820,9846,20642,17066,22460,12990,5243,21973,14692,6309,4187,20701,50354,16460,13236,11933,15935,14481,25800,34713,31188,24522,71999,25463,17755,22879,32055,7308,10771,5643,12038,32055
2019-05-19,10227,12817,8176,16075,9999,7386,13980,12646,15203,9712,4030,11896,11314,4290,2548,13355,29423,8558,7868,7555,9618,10216,16899,21759,19377,17208,14137,17988,12997,16126,21550,5473,7935,3411,8353,21550
2019-05-20,22721,29392,16130,31182,19926,16682,31203,24150,36507,16845,8670,20391,19499,8999,5564,18148,28290,11607,13175,16935,23418,22133,23413,30144,31821,32481,11263,32899,24065,32965,41218,10035,11164,6575,16461,41218
2019-05-21,23646,30119,17493,32583,20190,16416,31844,25386,39186,17357,8848,20687,21422,9383,5689,19200,28972,12879,14838,17470,24249,22402,24509,32402,33149,33230,12618,34196,24689,33390,42182,10149,11379,6815,16388,42182
2019-05-22,23590,30555,18283,32662,20155,16524,32117,26958,42354,17492,8670,20906,21800,9212,5740,20458,29764,12313,14771,16736,24666,22719,25117,31985,33115,33860,12906,34026,24973,33460,41938,10079,11493,6724,16559,41938
2019-05-23,23671,29927,18895,32762,20414,17400,31453,25240,39958,17519,8791,20570,21710,9044,5783,19427,30995,12272,15113,17589,24581,22961,25344,32568,33482,32879,12130,34066,24240,32904,41809,10056,11164,6788,16384,41809
2019-05-24,23440,28724,23403,32875,20835,15621,30673,26437,45086,17619,8596,21200,21744,9586,5899,22264,42474,15011,15466,17220,24302,23072,28116,35081,34500,33270,12930,33864,24243,33491,42233,10134,11774,6848,16625,42233
2019-05-25,15704,20353,28377,24519,15773,9959,20863,17687,41966,13717,5243,22538,15341,6440,4275,20690,50026,15647,15358,12079,15089,13989,25374,31163,29131,23369,18625,19592,18481,23072,32144,7771,10418,5822,11914,32144
2019-05-26,11617,13979,23121,18210,10983,8326,15060,13565,22616,10741,4214,17033,12634,4413,3037,14607,34496,10612,11070,8766,10545,11011,17449,23688,21888,17597,16354,13894,14110,17510,23903,6211,8703,4386,8891,23903
2019-05-27,22049,28068,14797,30709,19080,14450,28568,22681,34586,16231,8523,18696,20013,8844,5401,14955,26468,10744,12453,16147,22556,21679,22551,29082,30029,31456,9676,32557,23084,31754,39655,9878,10631,6271,15818,39655
2019-05-28,23727,29589,17940,32696,20078,15990,31452,24084,36870,17309,8248,20451,21716,9449,5825,20019,29055,12373,14954,17701,23804,22415,25026,32512,32755,32952,19794,34342,24609,33287,42581,10112,11548,6883,16631,42581
2019-05-29,23190,29196,17151,32410,20050,16355,31533,24477,36089,17090,8301,20155,21735,8892,5411,19631,28963,12377,14470,17443,23826,23088,27399,32357,33094,33273,12424,33906,24456,33514,42287,10119,12045,6803,16755,42287
2019-05-30,23130,29286,16357,32336,20075,17412,31104,24263,37060,17127,8364,20434,21271,8942,5637,19079,30451,12381,14281,17302,23490,22468,24922,32168,32554,32019,13124,33832,24758,32958,41974,9866,11515,6839,16121,41974
2019-05-31,23306,28173,16313,32039,20124,15812,29912,23080,36157,17558,8422,20554,21510,9241,5593,21244,40885,14219,15188,16789,23248,23061,27218,34020,34602,32572,14302,33910,24240,33386,42223,9960,12202,6961,16782,42223
