date,봉화산,화랑대,태릉입구,석계,돌곶이,상월곡,월곡,고려대,안암,보문,창신,동묘앞,신당,약수,버티고개,한강진,이태원,녹사평,삼각지,효창공원앞,대흥,광흥창,상수,합정,망원,마포구청,월드컵경기장,디지털미디어시티,증산,새절,응암,역촌,불광,독바위,구산,응암
2019-01-27,10336,11445,7376,15463,9429,6909,12800,9608,12588,8980,3828,15629,10346,4019,2579,15543,33199,9679,7399,7361,8806,10351,16869,21795,20467,15315,7179,12242,12703,15573,21676,5395,8335,4063,7748,21676
2019-01-28,21563,23876,12359,28662,17864,12901,26827,18007,24485,15636,7230,19152,19154,8703,5083,15419,27536,10835,11787,15341,19531,21180,21246,29959,31916,31077,10823,32246,21819,27685,39371,9844,11330,6382,14785,39371
2019-01-29,21744,24039,12718,29013,17824,12916,26864,18694,25848,15911,7135,19115,19726,9041,5174,18751,27827,11670,13458,15761,19504,21706,21961,31031,32981,31309,11112,32465,22096,27830,39839,9735,11374,6517,14489,39839
2019-01-30,22026,24425,12819,29491,18642,13207,26853,18558,25439,15959,7175,19343,21355,8734,5261,20664,28424,12376,13560,15808,19985,21779,22385,31463,33085,32257,11721,32790,22125,28706,40741,9867,11865,6668,14833,40741
2019-01-31,22192,23770,12899,28864,18429,15541,26739,19150,24081,15978,7262,18954,19503,8523,5117,18010,28951,11592,13032,15790,19765,22619,22699,31375,32863,31371,10750,32415,22251,27971,39643,9581,11394,6697,14714,39643
2019-02-01,21679,23600,12366,28997,17554,12642,25872,18054,23365,15568,7046,19275,19329,8641,5146,19750,37110,12548,12450,15027,19513,20973,24175,31947,32912,31211,10939,31526,21868,28147,39256,9489,11754,6526,14812,39256
2019-02-02,11536,13129,7827,17993,10764,7569,15487,9999,12510,9165,4014,16394,11622,4975,3062,17189,38832,10919,7500,8337,10431,10653,17742,22823,24280,17229,9923,14052,14495,17713,25830,6030,9324,4569,9203,25830
2019-02-03,7869,8071,4802,11833,7410,5478,10254,6875,7695,6545,2826,8173,6176,3025,2009,9342,27344,6524,4928,5376,6160,7590,11786,15231,14954,11204,7256,9628,10174,12179,17663,4415,6507,2880,6265,17663
2019-02-04,6652,7115,4017,10507,6147,4591,9176,6031,6035,5394,2402,10360,4357,2607,1689,4519,24354,5358,4791,4336,4992,5169,8574,11397,14023,9454,7434,8448,9105,10690,15495,3474,5428,2616,5343,15495
2019-02-05,7127,7805,4577,11663,6935,5620,9576,6428,5702,6291,2562,8423,3768,2475,1858,6343,22657,4876,4617,4299,4700,4854,6648,10090,9667,10055,6729,8928,9688,11880,16019,4006,4308,2949,5842,16019
2019-02-06,8747,9951,5688,13167,7439,5411,11584,7392,9087,6932,2780,11872,6822,2953,2054,10812,25023,7626,5252,5543,6089,6284,14806,16243,14021,11865,8555,10511,11153,13514,18689,4321,6963,3457,6399,18689
2019-02-07,20590,22113,11650,27130,16441,13686,24582,17471,24470,15090,6784,18059,15868,7861,4902,19886,28539,10433,11507,14140,18307,19654,22286,29052,29777,29279,10102,29600,20962,26774,37647,9197,10972,6155,14531,37647
2019-02-08,21186,23086,12593,28514,17105,12638,26104,17804,24101,15803,7001,20324,19943,8417,5058,20435,36384,12469,12884,15272,18779,20246,24958,32557,31473,30709,10529,31200,21746,27633,38975,9430,11644,6442,14315,38975
2019-02-09,13646,15443,9256,20472,11853,8387,18470,12077,16640,10987,4536,20647,13943,5737,3483,19270,42305,12655,9777,9843,13097,11691,23790,28062,26410,19937,10629,16345,16311,19820,28367,6663,10023,4832,10023,28367
2019-02-10,10024,11315,6851,14878,9051,6757,12453,9112,12703,8838,3440,15771,9305,3868,2524,15629,29630,8844,6893,7402,8175,10183,16811,20988,18969,14910,6717,12061,12499,15079,21135,5215,8100,3718,7263,21135
2019-02-11,21959,24194,12727,28832,18043,13081,26882,18768,25916,15893,7316,20850,19760,8767,5389,15528,26946,10791,11547,15627,19816,21935,21424,30178,31422,31327,10854,32496,22154,28054,39874,9780,11324,6555,14650,39874
2019-02-12,22042,24488,12725,29277,18147,13065,27025,18843,25822,15940,7339,20970,20470,9023,5354,17066,27828,11691,13240,16238,19908,22079,23190,31132,33107,32335,11330,32624,22504,28681,40776,9882,11487,6489,14791,40776
2019-02-13,22241,24549,12968,29622,18568,13345,26986,19012,25531,16278,7405,20987,21249,9028,5157,17875,29378,12288,12935,15821,20048,22368,22914,31537,32887,32244,10432,32636,22380,28705,40547,10052,11973,6763,14637,40547
2019-02-14,21773,24474,13163,29209,18339,15276,27088,18956,25001,16591,7335,20014,20663,9032,5395,17896,31857,12764,13341,16076,20262,22614,23515,32653,33211,32047,11140,32470,22698,28809,40448,9935,11828,6603,15097,40448
2019-02-15,22194,26230,13781,30288,18389,13263,27548,19420,26221,16396,7359,20393,20907,9364,5473,18989,40131,13558,14099,16267,20738,22679,26997,34830,34005,34348,10717,34354,23105,29552,41532,10415,12304,6774,15793,41532
2019-02-16,14495,16941,10193,22161,13127,8991,19040,14816,17607,12134,4699,22838,15697,6115,3823,18468,48607,14269,12350,10821,14117,13042,25144,30437,29156,22433,11524,18483,18284,21666,30785,7249,10752,5168,11422,30785
2019-02-17,10563,12221,7516,15697,9743,7338,14026,10086,14093,9293,3933,17288,10138,4246,2709,12435,32322,10269,7615,7789,9189,10394,16879,22500,20769,16156,8962,12850,13592,16365,23284,5510,8400,3936,8132,23284
2019-02-18,21701,24514,12830,29339,18146,12910,27204,20436,27682,15796,7431,20687,20054,8935,5431,15572,28350,11271,12119,15414,19365,22090,21787,30595,31927,31867,10085,32394,22180,28243,39760,9692,11301,6450,14976,39760
2019-02-19,22133,25280,13138,30166,17735,12962,26699,19893,26863,16126,7497,19432,20296,8618,5469,17191,27595,11694,13529,16325,20726,22003,22188,31323,32039,32345,10361,33802,22382,28625,39917,9972,11353,6633,15325,39917
2019-02-20,22214,25048,13240,30060,18424,13546,27311,20521,30830,16277,7442,20791,19702,8739,5341,17686,29124,12597,13842,15760,20112,22416,22466,31699,33444,32237,10943,32852,22994,28977,40802,10005,11746,6517,15323,40802
2019-02-21,22867,24342,12930,29488,18202,15843,27367,19981,27531,16640,7349,20722,19795,9004,5475,18094,31090,12761,13947,16316,19932,22710,23601,32679,33544,33341,10931,32795,22760,28988,40506,9829,11567,6520,15330,40506
2019-02-22,22583,24808,13426,30480,19386,14250,31405,20051,29094,16790,7499,21116,20598,9269,5471,20693,41172,14349,14828,16121,20482,23035,27732,35179,34376,32862,11063,33539,23075,31141,40818,9875,12634,6572,15565,40818
2019-02-23,14940,17858,10766,23194,13688,9092,19784,15625,20776,12432,5248,24170,14604,7021,4160,24055,49616,16610,14266,11543,13887,13571,23791,31211,29958,22419,13277,19597,18629,23305,32147,7701,11188,5450,11873,32147
2019-02-24,11096,12971,7983,16848,10136,7492,13818,11249,15675,10072,4170,18570,10177,4383,2915,19033,34810,11237,8700,8090,9279,10864,18376,23706,21737,16812,10960,13972,13806,16451,23707,5756,9098,4503,8566,23707
2019-02-25,22130,26393,13295,29885,18244,13627,30630,28019,40122,16480,7207,21193,20622,9222,5544,15958,28911,11542,12480,16073,19374,21990,22577,31447,31939,31985,10813,32246,22617,28587,39941,9843,11688,6417,15375,39941
2019-02-26,22602,26140,13051,30169,18101,13338,27263,19917,29779,16349,7418,21177,21071,9294,5446,19779,30447,13019,14108,15843,20336,22226,23400,33128,33736,33039,11484,32766,22696,29301,40787,9883,12000,6708,15582,40787
2019-02-27,22418,27156,13468,30079,18520,13437,27532,19476,27400,16805,7390,20810,21355,8947,5272,19657,30668,13357,13607,16045,19834,22058,22721,32537,33595,33263,11845,32706,23078,29792,40599,9950,12589,6476,15515,40599
2019-02-28,22586,26272,13809,30285,18952,16174,28667,20403,27852,17234,7367,22100,21151,9170,5325,20210,39704,14883,14497,16771,19770,23123,25535,34772,34652,32907,11585,33561,23162,30480,41116,9995,12029,6611,15858,41116
2019-03-01,13303,15125,8990,19299,11924,8071,17293,12830,17950,10970,4373,20437,14632,4990,3315,18211,49243,15011,10985,10143,10667,10273,21886,26118,26415,18250,11708,16034,16210,19437,27454,6255,9575,4686,9896,27454
2019-03-02,13335,15481,9213,19766,12015,8164,17824,13138,19063,11141,4446,21329,13951,5576,3490,20032,46090,14033,9574,9679,12005,11365,22039,26059,26026,19453,10647,15988,16618,20099,28132,6661,9901,4884,10223,28132
2019-03-03,10509,12686,7865,16558,10018,7355,14328,10889,16246,9802,3577,16513,10274,4172,2812,15265,30487,10562,7115,7980,9234,10135,16083,21495,19927,15663,19655,12943,13981,15837,22745,5549,8286,4368,8331,22745
2019-03-04,22293,28252,14441,32126,19381,14956,32275,23903,38911,17111,8756,20437,21278,9157,5586,14615,26851,11436,12629,16982,22586,22452,23008,29494,31173,32437,10456,32663,23563,31991,40974,10131,11395,6356,16430,40974
2019-03-05,22680,28211,14504,32258,19190,15164,32122,23971,39077,17002,8904,19894,21820,9386,5695,18437,27212,12277,13606,17318,23271,22078,24600,30762,31945,33007,9843,33511,23717,32118,41406,9969,11153,6597,16320,41406
2019-03-06,22828,28544,14702,31820,20092,15762,32666,24293,38022,17471,8887,20134,22414,8894,5528,19689,28476,12471,14250,17650,23368,22835,24213,31222,32605,33290,11085,33798,23665,32740,41645,9959,11620,6672,16474,41645
2019-03-07,23223,29217,15140,32761,20028,17341,32643,24096,39623,18171,8993,21288,22053,9228,5787,19579,31970,13075,14461,17954,24027,23200,25656,33051,33957,33354,11503,34285,24450,32946,42044,10012,11782,6754,16660,42044
2019-03-08,23224,28093,14502,32651,20129,15574,31621,22379,36371,18071,8442,22598,22046,9928,5889,22661,42613,14877,14739,17423,23590,23460,28602,35561,35744,34332,12560,34515,24167,32937,42736,10240,12329,6975,17073,42736
2019-03-09,15220,17841,10715,23132,13878,9466,20153,16237,23150,12744,5052,22491,14620,6366,3934,20142,50045,16493,12414,11535,14517,13187,24991,31150,30593,22365,14318,18564,18338,22836,32309,7461,11264,5804,12034,32309
2019-03-10,10495,12904,8002,16276,10133,7441,14010,11298,16619,9881,3771,16105,10015,4323,2662,17150,33082,10838,7644,8140,9448,10556,16856,21984,20659,15794,7981,12700,13734,16314,22569,5592,9063,3992,8353,22569
2019-03-11,22753,28671,14479,31931,19644,15448,32137,24245,38105,16915,8812,20297,21278,9084,5715,15629,28426,11391,12759,17611,23040,22930,23686,30504,32091,32935,10858,33662,24134,32551,41634,9978,11227,6594,16378,41634
2019-03-12,23090,28584,14639,31968,19969,15201,32864,24189,38985,17011,8727,19880,22105,9289,5730,18233,28087,12405,13856,17465,24037,22207,25193,31629,32525,32904,10561,33917,23954,32672,41644,9980,11139,6759,16424,41644
2019-03-13,22878,29041,15032,32178,20093,15882,33192,24776,38879,17504,8630,20751,21944,9055,5642,20488,29886,13312,14396,18005,23933,22889,25230,32115,33593,33197,10698,33635,24549,32998,42600,10361,12690,7440,16703,42600
2019-03-14,22741,28911,15628,32473,19924,16928,32205,24771,38244,17441,8798,20450,22484,9243,5686,19736,31808,14174,14656,17725,23712,23101,26136,32713,33558,33111,11214,34022,24238,32565,41561,10288,11368,6861,16489,41561
2019-03-15,23194,27898,14293,32605,19808,15320,30668,23462,38722,17688,8589,21766,23043,9224,5995,20652,39982,14433,14455,17275,23841,23186,28170,34603,34617,34246,11577,33965,24001,32570,41638,10317,11929,6959,17004,41638
2019-03-16,14906,18614,10917,22743,13800,9172,19728,16664,31044,12666,4951,22802,16662,6355,3944,22701,51630,16902,12422,12367,15219,13693,25449,31465,30464,22179,22103,18711,18379,22288,31830,7398,10790,5411,11807,31830
2019-03-17,11614,13508,8121,17127,10783,7781,15256,11428,17029,10242,4136,19095,12995,4604,2874,16368,35129,12146,8124,8273,9975,10668,17002,22885,22229,16370,10426,13258,13982,16973,24096,5708,8573,4748,8632,24096
2019-03-18,22742,29147,14482,31986,19594,15316,31747,24380,37367,16995,8904,20544,21160,9011,5779,16928,28698,11764,12922,17322,23040,22610,24005,30075,31794,32735,10836,33765,23830,32323,41563,10163,10507,6708,16564,41563
2019-03-19,23436,29275,14981,32503,19927,15591,32662,24358,38350,17345,8877,20751,22190,9336,5722,18616,28730,13147,14225,17642,24257,22550,24941,31517,32492,32963,11471,34432,24556,33055,42162,10756,11868,6800,16494,42162
2019-03-20,22825,28897,14678,32191,19944,16041,31971,24761,37381,17125,9072,20281,22710,8902,5798,19084,27503,12481,14367,17418,24228,22852,24744,31258,32496,33326,10171,33468,23959,32685,42102,10253,11889,6911,16733,42102
2019-03-21,23301,29028,14802,32285,19869,17128,31765,24335,38786,17535,8784,20763,21853,9214,5631,18609,31213,12968,14869,17495,23872,23104,26356,32645,32882,33371,10832,33966,24121,32454,41780,9934,11564,6660,16527,41780
