date,신도림,대림,구로디지털단지,신대방,신림,봉천,서울대입구,낙성대,사당,방배,서초,교대,강남,역삼,선릉,삼성,종합운동장,잠실새내,잠실,잠실나루,강변,구의,건대입구,성수,뚝섬,한양대,왕십리,상왕십리,신당,동대문역사문화공원,을지로4가,을지로3가,을지로입구,시청,충정로,아현,이대,신촌,홍대입구,합정,당산,영등포구청,문래
2020-01-01,52812,33872,50989,29773,74671,22825,49574,27690,39280,11272,9123,19507,75999,21752,21714,49048,9184,22349,102224,10412,51729,21543,58297,18722,12181,4934,18016,12005,14803,26255,8088,17284,56608,14668,7625,9050,18527,49282,131164,33654,16372,13238,12301
2020-01-02,118144,59830,141959,58642,144143,51940,106592,60620,88583,40312,47399,85834,232083,120511,121098,129085,18473,51174,175260,35016,84701,52445,89398,72272,44343,20201,34899,30681,31426,39686,30642,52483,114770,58856,24164,21586,35485,96638,165133,70603,46782,50870,47311
2020-01-03,125187,62391,148570,60808,151672,54162,114600,63697,101297,42133,48685,88603,258547,125755,126075,142931,20898,56275,187827,36701,93965,54698,101902,75747,46099,20866,39179,32267,33065,42399,32436,54848,121322,61923,24996,23410,38095,105623,188757,80492,50492,53773,49366
2020-01-04,109212,48167,87702,44786,119225,38795,86715,46875,81947,24817,26876,47474,180590,47661,57321,91386,18311,42665,159312,19372,82753,36931,93397,34954,25585,10694,30831,21044,25412,32756,20971,27635,77507,25287,14692,16346,29376,91679,193445,66466,31368,29314,25711
2020-01-05,74841,42894,63674,36537,90866,28288,64725,36100,55425,17725,30427,28198,104303,28787,28959,63463,15406,27809,115465,14241,64516,26287,69314,23062,19656,6557,21816,15138,19538,26754,9080,21737,57329,15759,9324,11811,21052,62221,140573,47676,21499,18745,17017
2020-01-06,121144,61399,145442,60179,144155,53668,111198,62105,91625,42564,51252,88950,235976,131305,130424,129922,19312,51839,168637,36790,84852,53956,87804,75242,44907,20863,35851,31547,31799,36126,30813,53952,113045,59669,25227,21886,36213,95784,146874,69285,47583,53126,49074
2020-01-07,117816,57960,142493,58404,141627,52976,107717,61627,91964,41188,50583,89138,232370,133178,128961,134907,18677,51218,165633,36163,78205,52751,85238,73980,44897,20949,34868,31047,30779,35051,29428,52788,112215,59969,25079,22010,34675,93561,139616,69242,46693,52041,49030
2020-01-08,122332,61858,147192,60955,147889,53788,113196,63612,97406,42257,53581,93299,241140,132845,131964,135456,27413,53279,177621,37702,82963,54649,92118,77041,46737,22204,37654,32338,33125,39021,31433,55538,115323,60863,25594,21845,35453,97296,154702,72897,48845,53560,49733
2020-01-09,125615,61521,149160,61825,149867,54741,115115,65174,100689,43048,53365,94981,244797,132827,132615,134730,19753,53387,185804,37971,85636,55406,94356,77505,47054,22047,37870,32250,33145,38171,31688,55763,117421,62217,25881,22533,36045,98581,160690,75344,49774,54327,50492
2020-01-10,131255,63541,153460,62454,156716,55884,120694,66426,109488,43887,51809,97654,262595,133412,132584,142528,24131,57172,189449,37544,96600,56729,104167,78805,48251,22790,40556,33104,34693,39812,32567,56614,121299,63081,25991,23015,38108,104808,178723,82609,52122,55588,51081
