date,방화,개화산,김포공항,송정,마곡,발산,우장산,화곡,까치산,신정,목동,오목교,양평,영등포구청,영등포시장,신길,여의도,여의나루,마포,공덕,애오개,충정로,서대문,광화문,종로3가,을지로4가,동대문역사문화공원,청구,신금호,행당,왕십리,마장,답십리,장한평,군자,아차산,광나루,천호,강동
2019-01-01,7767,5663,12009,9221,4273,13685,12554,25477,28608,11197,14260,20998,4186,1958,8644,2825,10337,6808,8355,8244,4991,2277,8804,28409,22850,3273,1879,3086,5377,6600,5581,5540,13548,13757,10694,23089,14360,20191,15937
2019-01-02,14697,12543,15385,18608,14344,36602,33282,62170,63826,28497,40828,54702,15445,8416,21142,8179,59470,16157,32454,32453,16056,10176,40630,83802,34993,12079,7668,8531,14140,17612,11751,12445,34206,41261,24435,29241,28646,42904,39559
2019-01-03,15530,12870,15384,18913,14888,37876,33999,62879,65040,29174,42230,56469,15644,8457,22163,8098,61104,16612,34379,33825,16673,10449,42899,85638,37117,12861,7597,8558,14164,17839,11841,12991,34972,42153,25178,29816,28534,44504,41473
2019-01-04,16415,13375,15822,19152,15209,39725,35039,64857,66433,29476,43561,58669,15746,8713,22807,8243,63167,17182,34728,35117,16689,10264,42609,86880,39996,13138,7849,8950,14473,18361,12324,13269,35511,43611,26570,30394,32232,47148,41576
2019-01-05,10905,8655,14566,14811,7888,26418,24238,45526,47804,19404,27568,42122,7755,4124,18296,4751,19971,8410,17180,16812,9150,4264,17442,47827,39934,9095,2920,5771,10116,12579,9757,9308,23602,26967,19777,25086,24613,40029,29675
2019-01-06,8692,6609,12645,11311,5513,16555,16451,32793,35683,14133,19168,27974,5563,2640,11907,3285,12954,7440,11233,10007,6678,3239,11174,31126,24689,3727,1696,3922,7441,8889,6937,6837,17650,18477,13734,20576,19518,29692,20678
2019-01-07,15461,13178,14785,19259,14863,37855,34276,63933,65680,28682,42843,55005,16048,8765,21736,8271,61911,16302,34021,33231,16505,10408,41841,84229,35797,12628,7597,8608,14135,17839,11885,13558,35179,40709,24889,29615,28547,42845,40851
2019-01-08,15721,13724,15340,19427,14894,38652,34578,63986,65036,28968,43160,56547,16455,8642,22121,8535,61586,16302,34893,34027,17204,10836,42753,86027,36454,12798,7538,8906,14332,18306,12276,13601,35502,41628,25927,30467,30162,43547,41314
2019-01-09,15314,13529,14981,18943,14689,39157,34046,63261,64369,28544,42546,56149,15909,8527,21737,8300,61821,16000,34401,33355,16770,10619,42047,84927,35881,12138,7439,8915,14182,17872,12247,13432,35076,42391,25277,29704,29678,42689,40425
2019-01-10,15531,13442,15420,19540,15164,39257,34102,63941,65456,29063,43239,57804,15879,8583,21995,8333,61904,16267,35560,34084,16877,10553,42284,86271,37291,12669,7396,9043,14512,18427,12292,13606,35199,42513,25827,30301,28948,44605,41247
2019-01-11,15940,12996,16072,19830,15282,40399,35083,65350,66876,29096,44608,58786,16194,8746,23901,8175,62044,17574,35131,35079,17008,10904,42315,88015,39556,13086,7444,9038,14724,18516,12610,13958,36301,43614,26477,30715,30168,47164,41669
