date,신도림,도림천,양천구청,신정네거리
2019-03-29,136955,3089,17870,23946
2019-03-30,120169,1681,10894,16608
2019-03-31,82497,893,8219,11919
2019-04-01,124573,3020,17332,23450
2019-04-02,126145,3200,17847,23409
2019-04-03,127978,2998,17467,24025
2019-04-04,129043,3082,17670,23880
2019-04-05,133206,3157,17793,24303
2019-04-06,122592,1830,12011,18944
2019-04-07,84117,1666,8747,13287
2019-04-08,126928,3371,17739,24034
2019-04-09,124310,3507,18174,23687
2019-04-10,129644,3153,17673,23291
2019-04-11,132567,3390,17685,24311
2019-04-12,135562,3938,17777,24740
2019-04-13,126305,2522,11910,18254
2019-04-14,79819,1084,8967,12060
2019-04-15,122865,3078,17757,23699
2019-04-16,127703,3179,18608,23988
2019-04-17,128272,3052,17900,24136
2019-04-18,126160,3180,17562,23607
2019-04-19,133202,3103,17264,23994
2019-04-20,120331,1738,12865,17922
2019-04-21,83097,1042,9220,12645
2019-04-22,126246,2945,17307,23657
2019-04-23,121317,3034,18052,23373
2019-04-24,128601,3006,17491,23625
2019-04-25,127675,3315,17386,23257
2019-04-26,135881,3002,17703,24292
2019-04-27,130893,1940,13019,18877
2019-04-28,85211,1050,8504,13050
2019-04-29,126682,2963,17778,23951
2019-04-30,134604,3117,18194,24387
2019-05-01,99394,2005,12678,17907
2019-05-02,132137,3021,18176,24904
2019-05-03,135224,2797,18655,25926
2019-05-04,112794,1507,11239,17541
2019-05-05,82599,1126,8533,12909
2019-05-06,80497,1334,8950,14573
2019-05-07,125743,2984,18386,24195
2019-05-08,128610,2998,18063,24340
2019-05-09,131160,2999,17967,23902
2019-05-10,137047,3131,18469,25029
2019-05-11,128464,1739,14085,19161
2019-05-12,88928,1122,8880,13526
2019-05-13,125295,2963,17657,23923
2019-05-14,127897,3004,18461,23949
2019-05-15,134428,3856,18157,26065
2019-05-16,131969,2821,17752,24586
2019-05-17,136050,3037,18983,24863
2019-05-18,124488,1809,12137,18138
2019-05-19,83790,1036,8093,12212
2019-05-20,123001,2925,17690,23573
2019-05-21,130910,2949,18317,24277
2019-05-22,130329,2906,17610,24158
2019-05-23,131217,2944,17787,23677
2019-05-24,135268,2911,18170,25106
2019-05-25,124197,1632,12496,18493
2019-05-26,89468,1036,8906,13278
2019-05-27,120945,2891,17053,22856
2019-05-28,126953,2987,18399,23722
2019-05-29,131815,2862,17921,24769
2019-05-30,129416,2932,17870,24123
2019-05-31,135407,2923,17854,24702
