date,신도림,도림천,양천구청,신정네거리
2019-01-01,51935,702,5326,8640
2019-01-02,119801,2662,15052,20719
2019-01-03,124648,2712,15519,20991
2019-01-04,130544,2769,16011,21789
2019-01-05,116957,1598,10609,15960
2019-01-06,78098,928,7593,11173
2019-01-07,121706,2852,16080,21399
2019-01-08,121511,2849,15940,21331
2019-01-09,122991,2746,15738,20790
2019-01-10,125255,2774,16326,21332
2019-01-11,131988,2720,16375,22139
2019-01-12,119056,1621,10861,16511
2019-01-13,77334,889,7622,11603
2019-01-14,118588,2742,15861,21249
2019-01-15,123005,2736,15601,21023
2019-01-16,123939,2763,16018,21197
2019-01-17,126038,2745,16163,21236
2019-01-18,133278,2706,16388,22178
2019-01-19,122179,1712,10623,16632
2019-01-20,83016,945,7783,11588
2019-01-21,120030,2668,15982,21378
2019-01-22,121013,2787,16117,21528
2019-01-23,126358,2778,16075,21741
2019-01-24,130811,2795,16233,21477
2019-01-25,133890,2778,16330,22388
2019-01-26,122309,1693,11031,16173
2019-01-27,82693,967,7785,11789
2019-01-28,122038,3111,15915,21493
2019-01-29,122500,3000,16165,21578
2019-01-30,124687,3035,16041,21521
2019-01-31,124685,3064,15863,21186
2019-02-01,126070,3324,15694,21602
2019-02-02,84035,1466,8741,13692
2019-02-03,54701,781,5839,9210
2019-02-04,43392,568,5005,8028
2019-02-05,37260,614,5301,8150
2019-02-06,57453,809,6402,9788
2019-02-07,116893,2667,14846,20283
2019-02-08,126311,2685,15338,20988
2019-02-09,108192,1710,10003,15350
2019-02-10,76208,1000,7425,11525
2019-02-11,123106,2855,16128,21757
2019-02-12,125291,2866,16278,21965
2019-02-13,126312,2800,16510,22175
2019-02-14,128766,2773,16482,22026
2019-02-15,134031,2901,17468,23417
2019-02-16,127070,1752,11540,17177
2019-02-17,82697,977,8143,12171
2019-02-18,123881,2791,16609,22087
2019-02-19,124526,3016,16522,21760
2019-02-20,129558,2715,16825,22471
2019-02-21,130681,2733,16900,22150
2019-02-22,134922,2840,16955,23207
2019-02-23,128031,1722,11793,18436
2019-02-24,88561,1050,9509,12805
2019-02-25,125827,2720,16591,22251
2019-02-26,124676,2812,16896,22298
2019-02-27,133571,2742,16840,22998
2019-02-28,133316,2792,16608,22965
2019-03-01,97739,1403,9592,14928
2019-03-02,103532,1459,9914,15587
2019-03-03,78742,898,8056,11917
2019-03-04,125317,3149,17695,22975
2019-03-05,125104,3206,17448,22751
2019-03-06,126931,3157,17146,22896
2019-03-07,129856,3147,17453,23242
2019-03-08,139957,3239,17839,23953
2019-03-09,128915,1801,11639,18021
2019-03-10,84432,964,8087,12383
2019-03-11,127829,3350,17719,23417
2019-03-12,126616,3210,17893,23116
2019-03-13,132043,3242,17563,23465
2019-03-14,131789,3190,17804,23282
2019-03-15,135140,3251,17746,23795
2019-03-16,131596,1840,11474,17774
2019-03-17,85373,1025,8436,12700
2019-03-18,123460,3175,17603,23285
2019-03-19,128716,3278,18242,23178
2019-03-20,128032,3196,17409,23010
2019-03-21,129925,3198,17728,22962
2019-03-22,136906,3238,17964,23786
2019-03-23,121231,1706,11149,17132
2019-03-24,83987,1008,8591,12436
2019-03-25,125598,3197,17325,23187
2019-03-26,127587,3228,18141,23153
2019-03-27,129751,3191,17505,23427
2019-03-28,129984,3185,17550,23449
