date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2020-01-01,2060,17812,3358,6239,8647,7769,18125,6504,8374,14974,2824,5283,15353,7677,9070,3209,34101,4055,8299,2831,2066,2154,22989,2417,30706,6055,4642,3437,21107,3992,5958,5058,6104,4160,2667,4846,687,5775
2020-01-02,5239,21310,6358,14724,21883,19541,43744,15332,22976,36688,8080,15777,39266,35133,51788,12216,62030,9037,19543,4307,6644,6550,33860,7086,78965,21360,20228,14160,38718,9263,12659,11217,14251,8886,4635,10721,2152,19686
2020-01-03,5343,22267,6689,15290,23139,20397,46073,16263,23811,38889,8549,16623,43136,38805,54587,12794,67167,9426,20659,3927,6801,6595,39110,7765,89539,22936,21488,15548,43554,10252,13600,11568,14887,9540,4913,11956,2291,20067
2020-01-04,3113,21188,5064,10271,16000,12401,30608,8889,15206,25171,4817,7504,28308,9919,18368,6373,57801,6914,14181,2956,5675,4306,40293,4606,67142,12175,10827,6615,31952,6911,9677,8325,11171,7728,3959,16692,1100,9854
2020-01-05,2528,19069,4245,8145,10730,9196,23916,6841,10687,18618,3830,5387,19972,11436,12606,4447,40414,5931,10662,2301,3174,4003,31703,3359,39832,7552,6708,4297,22629,5349,7061,6235,8144,5654,3275,11916,1407,7743
2020-01-06,5279,21830,6745,14869,22533,20134,45490,16250,24420,37813,8451,16863,41116,39395,54748,13302,64662,9407,20178,3954,7676,6888,34049,7582,77221,22640,21357,15279,38783,9956,13486,11743,14641,9206,4601,11195,2314,20412
2020-01-07,4986,21327,6648,14903,22152,19800,44553,15910,23898,36718,8503,16618,41789,39935,54249,13063,62992,9112,19809,4162,6700,6699,31901,7473,75858,22563,20851,15195,40202,9870,13628,11750,14360,9496,4899,10852,2431,20729
2020-01-08,5146,22154,6735,15159,23099,20339,46477,16277,24349,38435,8802,16662,41648,40750,55850,13160,66241,9768,20783,3816,7055,6907,34025,7513,78607,22401,21414,15299,39406,10850,13730,11876,15015,9690,5103,11548,1977,20557
2020-01-09,5280,22329,6934,15493,23305,20879,45817,16262,24606,38759,8674,16982,42802,39589,55661,13927,68018,9690,20870,3745,7218,7567,35400,7407,80736,22746,21536,15113,40355,9921,13564,12554,15132,9853,5030,11679,2277,20080
2020-01-10,5322,23935,7160,16000,24404,21051,47535,16769,24690,39341,8879,17210,44619,42263,57530,13525,72323,10173,21405,3796,7435,7234,41039,7706,89859,23600,22209,15689,43569,10607,14220,12540,15700,9979,5288,11789,1890,20497
2020-01-11,3362,22149,5399,11115,16811,13485,32668,9743,15915,26413,5398,8386,30205,11952,20742,6483,62610,7339,15595,3032,6019,5204,43608,4995,68991,13207,12287,7520,31626,7411,10192,8707,11834,8171,4245,12921,1253,10524
2020-01-12,2447,19241,4237,8214,11143,9694,25137,5861,10811,19547,3870,6085,20613,11291,13583,4421,42570,5899,16172,2554,3185,4060,33637,3327,38999,8211,7572,4600,23465,5729,7733,6317,8411,6010,3114,6175,1521,8238
2020-01-13,5272,22666,6718,15358,22678,20280,46000,16712,24490,37972,8441,16973,41625,39322,55085,13508,65602,9368,20823,3619,7402,6547,35091,7243,77079,22219,21652,15270,39985,9891,13486,11943,15142,9428,4795,11342,1777,20396
2020-01-14,5171,22463,7004,15523,23375,20353,46857,16516,24674,38329,8482,16715,42460,41936,55931,13575,65703,9640,20495,3762,7034,6695,34499,7481,79879,22906,21810,15893,39400,10011,13721,12169,15191,9932,4934,11620,1790,20338
2020-01-15,5253,22958,6881,15541,23345,20841,46600,16890,24695,38991,8798,16940,43033,40703,56428,13750,68086,9608,20692,3591,7339,6872,35086,7324,80089,23316,22069,15633,39955,10338,13689,12232,15555,10125,5108,11344,2035,20655
2020-01-16,5237,22908,7087,15817,23428,20692,46862,16581,24814,38819,8710,16800,43454,40879,56737,13700,69027,9635,20680,3594,7385,7053,36358,7326,81373,23081,22291,15861,42781,10153,13767,12417,15576,9905,5236,11558,1745,20558
2020-01-17,5384,24876,7139,16006,23999,21223,47444,16793,24919,39807,9105,17628,44662,42506,57879,14129,72964,9929,21989,3780,7343,6895,42177,7719,91321,23851,23098,16007,46922,10790,14353,12783,16112,10277,5197,18754,1874,21130
2020-01-18,3358,21987,5352,11030,16660,12839,32719,9929,15831,26667,5262,7875,30478,10855,19667,6641,62245,7518,15633,3328,5790,4703,43955,4782,69677,13654,13126,7414,34713,9018,10424,9069,12041,8438,4052,25245,1335,10292
2020-01-19,2263,19535,4470,8286,11259,9417,25669,7265,11383,18958,3825,5718,20699,11494,13065,4323,42674,5773,11124,2683,3493,4298,32257,3214,38966,8139,7539,4906,21592,6639,7642,6678,8301,6026,2970,12851,1533,7835
2020-01-20,5279,22381,6980,15626,23242,20359,46455,16838,25193,38403,8695,16929,42540,39747,56070,13908,66233,9604,20363,4073,7452,6756,35171,7152,79689,22716,22411,15772,39852,10114,13786,11976,15055,9613,4939,11692,1774,20770
2020-01-21,5227,22192,6684,15198,23694,20004,47513,16583,24972,38433,8593,16691,44209,40997,56639,13855,66535,9622,20074,3784,8029,6828,35732,7578,81758,22988,22424,15620,40941,10536,13689,12078,15661,9443,4961,13137,1870,20470
2020-01-22,5118,24123,6956,15627,23251,20408,46798,17052,24863,38831,8817,16993,42431,39887,56576,13405,68131,9838,19904,3774,7431,6735,37763,7304,81245,22758,22104,15649,40119,9954,13653,12082,15532,10104,4763,11344,2013,20537
2020-01-23,4780,23669,6559,14769,20737,18918,44535,16265,23453,36358,8039,15096,39831,32014,51245,11871,64768,9210,18651,3581,6903,6831,46782,7035,77175,20008,20044,13863,36279,9273,12683,11187,14190,8968,4380,10434,1477,18474
2020-01-24,2100,17680,3266,6383,7314,6844,17927,6023,8408,14290,2754,3871,13332,4209,7807,2972,35363,3692,7266,2631,2011,2218,29975,2189,26848,4703,4255,2971,12944,3223,5266,4332,5567,3810,1636,3743,524,5510
2020-01-25,1791,14543,2677,5669,5864,5904,15859,4444,6675,12600,2398,3125,10876,2960,6529,1919,24249,3496,7059,4994,1430,1521,17544,1833,16315,3410,3253,2113,14034,2766,4447,3751,4883,2808,1458,3370,464,5168
2020-01-26,2210,17587,3461,6935,7975,7187,19059,4419,8415,15176,3154,4324,14599,7744,9560,2832,32102,4702,7894,3180,2183,3043,26216,2431,27111,4847,4482,3031,15343,3732,5818,5178,6301,4335,2315,4939,1056,6378
2020-01-27,2347,18624,3510,7066,9051,8342,19605,6240,9214,16315,3230,4859,17421,5288,10425,3597,35405,4164,8158,2593,2862,2525,28155,2625,32725,5601,5380,3855,18123,4420,6519,5537,7121,4926,2211,5238,648,6987
2020-01-28,4846,18419,6158,14497,19825,17683,42375,14722,21991,34712,7572,14908,37256,34829,48800,11650,56561,8491,17785,3556,6118,6001,30257,6625,66042,19735,19401,13583,34658,8946,12380,10654,13876,8525,4189,10258,1565,18784
